visitid,itemtype
100088,Cookies
100088,Diapers
100088,Milk
100088,Softdrink
100088,ToothPaste
100089,Antacid
100089,Bread
100089,Candy
100089,Chips
100089,Cookies
100089,Diapers
100089,HamburgerBuns
100089,Milk
100089,Soap
100091,Bread
100091,CatFood
100091,Chips
100091,Cookies
100091,Diapers
100091,HamburgerBuns
100091,LaundryDetergent
100091,Softdrink
100091,ToothPaste
100092,Bread
100092,Cookies
100092,Diapers
100093,Bread
100093,Candy
100093,CatFood
100093,Diapers
100093,HamburgerBuns
100093,Milk
100093,Softdrink
100094,Chips
100094,DogFood
100094,Milk
100096,Bread
100096,Chips
100096,Cookies
100096,Diapers
100096,DogFood
100096,HamburgerBuns
100096,LightBulb
100096,Milk
100096,Softdrink
100097,Antacid
100097,Bread
100097,Candy
100097,CatFood
100097,Chips
100097,Cookies
100097,Diapers
100097,DogFood
100097,HamburgerBuns
100097,Milk
100097,Softdrink
100098,Bread
100098,Candy
100098,CatFood
100098,Chips
100098,Milk
100098,Softdrink
100099,Antacid
100099,Candy
100099,Chips
100099,Cookies
100099,Diapers
100099,DogFood
100099,HamburgerBuns
100099,LaundryDetergent
100099,Milk
100099,Soap
100099,Softdrink
100101,Chips
100101,Diapers
100101,LaundryDetergent
100101,Milk
100104,Milk
100104,Soap
100104,Softdrink
100105,Bread
100105,Cookies
100105,HamburgerBuns
100105,LightBulb
100105,Softdrink
100106,Candy
100106,CatFood
100106,Chips
100106,Cookies
100106,DogFood
100106,HamburgerBuns
100106,Milk
100107,Antacid
100107,Candy
100107,Cookies
100107,HamburgerBuns
100107,Milk
100107,Soap
100107,Softdrink
100108,Bread
100108,CatFood
100108,Chips
100108,Softdrink
100111,Antacid
100111,Candy
100111,Chips
100112,Bread
100112,DogFood
100112,HamburgerBuns
100112,Softdrink
100114,Bread
100114,Candy
100114,CatFood
100114,Chips
100114,Cookies
100114,LightBulb
100114,Milk
100114,Softdrink
100116,BeefJerky
100116,Bread
100116,Chips
100116,Cookies
100116,Diapers
100116,Milk
100116,Softdrink
100117,Bread
100117,Chips
100117,Diapers
100117,Milk
100119,Candy
100119,Chips
100119,Cookies
100119,Diapers
100119,Milk
100120,Milk
100121,Bread
100121,Candy
100121,Chips
100121,Diapers
100121,HamburgerBuns
100121,Milk
100121,Softdrink
100122,BeefJerky
100122,Candy
100122,Chips
100122,Diapers
100122,Softdrink
100124,Bread
100124,CatFood
100124,Chips
100124,DogFood
100124,Softdrink
100125,Antacid
100125,Diapers
100125,LaundryDetergent
100126,Candy
100126,Chips
100126,Softdrink
100127,Bread
100127,Candy
100127,Cookies
100127,Milk
100128,BeefJerky
100128,Chips
100128,Cookies
100128,Diapers
100128,Milk
100128,Softdrink
100129,Bread
100129,Cookies
100129,Diapers
100129,DogFood
100129,LaundryDetergent
100129,Milk
100129,Softdrink
100131,CatFood
100131,Cookies
100132,Candy
100132,Chips
100132,DogFood
100134,BeefJerky
100134,Bread
100134,CatFood
100134,Chips
100134,HamburgerBuns
100134,Milk
100134,MotorOil
100134,Softdrink
100135,Candy
100135,CatFood
100135,Cookies
100135,Diapers
100135,DogFood
100135,HamburgerBuns
100135,LaundryDetergent
100135,Milk
100136,Candy
100136,CatFood
100136,Diapers
100136,Milk
100136,Softdrink
100138,CatFood
100138,Cookies
100138,Diapers
100138,InkPen
100138,LightBulb
100139,Candy
100139,Chips
100139,HamburgerBuns
100139,LaundryDetergent
100148,Antacid
100148,CatFood
100148,Diapers
100148,DogFood
100148,Softdrink
100151,Ammunition
100151,BeefJerky
100151,Candy
100151,Chips
100151,Cookies
100151,Milk
100152,Chips
100152,Cookies
100152,Milk
100152,Softdrink
100155,Bread
100155,Chips
100155,Cookies
100157,Antacid
100157,Bread
100157,Candy
100157,Chips
100157,DogFood
100157,HamburgerBuns
100157,Milk
100157,Soap
100159,Ammunition
100159,BeefJerky
100159,Chips
100159,Diapers
100159,HamburgerBuns
100159,Soap
100160,Bread
100160,Cookies
100160,Diapers
100162,Ammunition
100162,BeefJerky
100162,Bread
100162,Candy
100162,CatFood
100162,Chips
100162,Cookies
100162,HamburgerBuns
100162,InkPen
100162,Milk
100162,Soap
100162,ToothPaste
100163,Ammunition
100163,Bread
100163,Candy
100163,Chips
100163,Diapers
100163,DogFood
100163,LightBulb
100163,Softdrink
100166,Candy
100166,Diapers
100166,HamburgerBuns
100167,Cookies
100167,Diapers
100167,HamburgerBuns
100167,Milk
100169,Candy
100169,Chips
100169,Cookies
100169,HamburgerBuns
100169,Milk
100173,CatFood
100173,Milk
100174,Bread
100174,Chips
100174,Cookies
100174,Diapers
100174,HamburgerBuns
100174,LaundryDetergent
100175,Bread
100175,Chips
100175,Diapers
100175,Softdrink
100176,Bread
100176,Chips
100176,Diapers
100176,DogFood
100176,LaundryDetergent
100176,Softdrink
100179,Bread
100179,Chips
100179,Cookies
100179,Diapers
100179,Milk
100180,Chips
100180,Cookies
100180,Milk
100181,Diapers
100181,Milk
100182,Bread
100182,Candy
100182,Chips
100182,DogFood
100182,HamburgerBuns
100184,Chips
100184,DogFood
100186,Antacid
100186,Bread
100186,Chips
100186,Cookies
100186,Diapers
100186,DogFood
100186,HamburgerBuns
100186,LaundryDetergent
100186,Milk
100186,Softdrink
100188,Bread
100188,Chips
100188,LaundryDetergent
100190,Bread
100190,Chips
100190,DogFood
100190,Softdrink
100196,Bread
100196,Candy
100196,Diapers
100196,HamburgerBuns
100196,Milk
100197,Bread
100197,Candy
100197,Chips
100197,Cookies
100197,HamburgerBuns
100197,Milk
100197,Softdrink
100199,Chips
100199,Cookies
100199,Diapers
100199,DogFood
100199,HamburgerBuns
100199,LightBulb
100201,Antacid
100201,Bread
100201,Candy
100201,Chips
100201,Cookies
100201,Diapers
100201,DogFood
100201,HamburgerBuns
100201,Milk
100202,Ammunition
100202,Bread
100202,Candy
100202,Diapers
100202,LaundryDetergent
100203,Bread
100203,Chips
100203,Cookies
100203,DogFood
100203,LaundryDetergent
100206,Bread
100206,Candy
100206,CatFood
100206,Chips
100206,Cookies
100206,Diapers
100206,DogFood
100206,HamburgerBuns
100206,InkPen
100206,Milk
100209,Bread
100209,Diapers
100209,DogFood
100209,Milk
100209,Soap
100213,Antacid
100213,Bread
100213,Cookies
100213,HamburgerBuns
100213,LaundryDetergent
100213,Milk
100213,Softdrink
100218,Ammunition
100218,Bread
100218,Chips
100218,Cookies
100218,Diapers
100218,HamburgerBuns
100218,Milk
100218,Softdrink
100222,Antacid
100222,Chips
100222,Cookies
100222,Diapers
100222,HamburgerBuns
100222,InkPen
100222,Milk
100222,Softdrink
100225,Chips
100225,Cookies
100225,DogFood
100225,LightBulb
100225,Milk
100226,Bread
100226,Candy
100226,Chips
100226,Diapers
100226,HamburgerBuns
100226,Milk
100227,Antacid
100227,Bread
100227,Candy
100227,Chips
100227,Cookies
100227,Milk
100227,Softdrink
100228,Bread
100228,Chips
100228,Cookies
100228,Diapers
100228,Softdrink
100231,Chips
100231,Cookies
100231,DogFood
100231,HamburgerBuns
100239,Candy
100239,CatFood
100239,Chips
100239,Cookies
100239,Milk
100239,Softdrink
100241,Bread
100241,Candy
100241,Cookies
100241,Diapers
100245,Cookies
100245,Milk
100245,Softdrink
100251,Candy
100251,Cookies
100252,Antacid
100252,BeefJerky
100252,Bread
100252,CatFood
100252,Softdrink
100258,Diapers
100258,Milk
100261,Bread
100261,Candy
100261,CatFood
100261,Chips
100261,Diapers
100262,Chips
100262,Cookies
100262,Diapers
100262,DogFood
100262,HamburgerBuns
100262,LaundryDetergent
100265,Bread
100265,Candy
100265,CatFood
100265,Cookies
100265,Diapers
100266,CatFood
100266,Chips
100266,Cookies
100266,HamburgerBuns
100266,LaundryDetergent
100266,Milk
100266,Soap
100266,Softdrink
100268,Bread
100268,Candy
100268,Cookies
100268,Diapers
100268,HamburgerBuns
100268,LightBulb
100268,Milk
100269,Chips
100269,DogFood
100269,InkPen
100269,LaundryDetergent
100269,Milk
100271,Bread
100271,Cookies
100271,Milk
100274,Candy
100274,Cookies
100274,DogFood
100274,Milk
100274,Softdrink
100277,CatFood
100277,Softdrink
100278,Antacid
100278,BeefJerky
100278,Candy
100278,Chips
100278,Cookies
100278,Diapers
100279,CatFood
100279,Cookies
100279,Soap
100281,Candy
100281,Cookies
100281,Diapers
100281,HamburgerBuns
100281,Milk
100284,Antacid
100284,CatFood
100284,Cookies
100284,HamburgerBuns
100284,Milk
100284,Soap
100285,Bread
100285,Candy
100285,Cookies
100285,Diapers
100285,HamburgerBuns
100285,Milk
100286,Bread
100286,Chips
100286,Cookies
100286,Diapers
100286,HamburgerBuns
100286,LaundryDetergent
100290,Bread
100290,Candy
100290,Cookies
100290,DogFood
100290,Softdrink
100291,Milk
100291,Softdrink
100292,Diapers
100292,LaundryDetergent
100292,Milk
100292,Softdrink
100293,Bread
100293,Cookies
100293,DogFood
100293,HamburgerBuns
100294,Bread
100294,Candy
100294,HamburgerBuns
100294,Softdrink
100301,Candy
100301,Milk
100317,Bread
100317,Softdrink
100318,Antacid
100318,Bread
100318,Chips
100318,Cookies
100318,Milk
100320,Bread
100320,Chips
100320,Soap
100329,Candy
100329,Chips
100329,Diapers
100329,Milk
100329,Softdrink
100331,Bread
100331,Chips
100331,HamburgerBuns
100334,Antacid
100334,Bread
100334,Candy
100334,Chips
100334,Cookies
100334,Milk
100334,Softdrink
100345,Chips
100345,Soap
100345,Softdrink
100359,Bread
100359,Candy
100359,Chips
100359,HamburgerBuns
100359,LightBulb
100359,Milk
100359,Soap
100359,Softdrink
100367,BeefJerky
100367,Chips
100367,Cookies
100367,Diapers
100367,Milk
100367,Softdrink
100375,HamburgerBuns
100375,LaundryDetergent
100375,Softdrink
100391,BeefJerky
100391,Chips
100391,Cookies
