Day,Coke2Liter,Advil30CntGel,BountyPaperTowel2pk,IvorySoap6pk
92,41.35,13.74,50.42,40.91
93,18.29,11.02,48.88,33.06
94,33.2,16.74,58,45.26
95,32.02,19.17,67.83,34.67
96,25.48,19.38,43.29,43.89
97,32.43,16.83,52.56,30.12
98,24.06,14.93,56.27,44.06
99,35.53,16.71,41.86,43.48
100,26.14,23.22,50.41,35.75
101,29.06,15.99,54.05,37.88
102,28.71,15.45,59.25,43.21
103,28.4,25.69,52.44,50.63
104,24.72,19.84,55.99,31.69
105,35.45,15.36,57.3,34.1
106,26.73,23.44,57.97,45.47
107,22.49,20.14,61.65,56.37
108,22.31,18.58,55.53,33.67
109,26.61,12.8,54.13,40.8
110,21.27,13.61,63.23,40.8
111,29.34,20.24,56.58,45.47
112,31.34,17.27,40.27,33.92
113,40.7,15.93,50.54,55.24
114,33.12,11.46,56.95,42.43
115,29.86,21.2,48.54,62.23
116,33.7,13.91,46.77,37.69
117,33.88,23.14,60.74,54.85
118,33.1,14.91,57.75,50.74
119,35.07,18.15,57.97,46.15
120,35.12,14.66,42.12,55.6
121,25.39,15.22,54.19,42.47
122,38.04,22.56,64.16,46.35
123,27.96,19.66,57.78,50.96
124,32.84,15,45.78,35.47
125,27.52,19.38,55.52,38.79
126,31.59,18.2,39.92,50.89
127,33.76,20.27,59.89,51.85
128,30.06,20.89,46.65,54.18
129,24.2,18.6,53.31,50.95
130,28.52,23.4,43.38,49.04
131,27.57,12.6,63.15,46.94
132,32.79,19.8,38.66,53.26
133,35.57,23.92,39.9,59.63
134,37.23,26.39,61.15,38.09
135,16.09,18.25,57.24,35.94
136,23.47,21.09,61.89,40.77
137,33.84,17.24,39.91,32.55
138,23.2,26.36,74.36,59.69
139,28.79,22.88,42.08,50.01
140,31.4,19.57,42.27,48.27
141,22.19,12.27,45.24,63.63
142,36.51,15.01,59.18,38.87
143,28.59,17.53,65.65,36.34
144,28,18.36,53.87,44.02
145,29.96,19.49,71.28,39.1
146,26.3,16.19,60.34,59.35
147,35.18,19.65,57.95,55.59
148,34.81,13.96,71.47,27.24
149,33.61,18.66,44.49,49.41
150,26.54,19.8,41.17,45.57
151,33.85,14.59,65.09,42.59
152,33.08,14.85,47.01,28.93
153,22.82,19.24,64.23,21.67
154,34.92,21.07,49.65,61.48
155,32.96,15.51,55.32,35.07
156,31.88,21.74,64.06,40.72
157,32.56,18.55,46.18,46.29
158,36.15,13.46,46.98,34.72
159,16.13,15.8,62.55,41.31
160,24.79,19.15,57.11,38.69
161,34.88,21.82,52.08,36.69
162,25.96,27.2,50.78,47.17
163,32.12,16.06,49.55,45.42
164,41.22,11.34,54.66,46.98
165,26.8,18.79,56.34,33.22
166,32.84,11.72,72.72,43.55
167,24.3,17.88,50.59,43.08
168,39.59,12.83,48.56,46.18
169,25.33,13.67,45.21,34.56
170,25.96,20.59,55.58,28.53
171,39.15,18.81,51.57,27.14
172,29.65,23.65,55.46,41.08
173,26.11,11.58,58.11,36.07
174,24.54,14.51,48.21,31.92
175,29.99,16.26,50.41,23.32
176,29.85,9.72,50.22,46.65
177,34.72,24.87,52.62,30.34
178,26.51,19.25,59.74,31.65
179,31.51,22.96,73.63,55.56
180,31.35,19.42,34.4,34.61
181,27.38,16.57,50.32,50.72
182,22.48,20.55,66.57,42.01
183,30.71,21.46,43.99,30.68
184,19.36,17.68,39.87,64.24
185,21.46,22.43,62.52,49
186,31.64,24.76,52.64,40.7
187,37.38,18.71,44.09,39.46
188,26.57,26.08,53.36,32.99
189,36.14,22.97,55.91,41.16
190,26.86,16.64,42.52,37.96
191,28,15.64,70.31,36.85
192,29.55,20.95,53.65,42.51
193,34.42,17.07,59.88,57.08
194,25.45,26.15,42.66,47.21
195,30.21,16.77,58.19,46.43
196,27.44,18.5,33.87,44.71
197,30.58,20.54,41.04,41.14
198,32.33,16.32,63.99,41.64
199,35.55,18.42,51.3,43.94
200,23.89,19.98,75.97,37.05
201,27.09,7.5,45.36,25.54
202,33.52,22.33,52.66,44.68
203,34.18,21.29,79.83,35.05
204,35.26,20.34,47.73,47.35
205,31.63,16.4,58.97,38.97
206,23.11,14.76,42.46,61.79
207,24.41,17.82,57.34,36.4
208,25.5,17.94,69.52,49.77
209,30.56,21.32,72.99,39.27
210,29.71,11.79,43.39,40.88
211,28.84,23.39,43.56,22.26
212,32.28,15.14,63.44,64.94
213,34.41,22.75,55.37,36.31
214,29.31,18.35,40.7,45.52
215,24.66,20.01,51.76,42.64
216,22.67,11.78,53.07,32.86
217,31.92,18.97,49.78,33.51
218,32.09,22.35,57.92,38.25
219,22.99,23.4,54.49,37.23
220,29.52,10.15,52.07,50.66
221,38.82,18.59,58.54,56.89
222,21.9,12.68,61.32,32.92
223,28.75,18.04,45.88,37.77
224,39.38,13.14,39.1,41.06
225,32.4,20.07,57.88,41.93
226,23.44,21.53,50.43,33.9
227,32.78,20.22,57.09,45.7
228,22.12,16.79,50.62,28.93
229,31.75,21.73,75.74,44.25
230,17.14,18.6,52.64,47.2
231,33.96,21.05,46.02,31.06
232,35.13,16.1,58.75,49
233,30.04,10.53,46.68,51.65
234,24.69,16.85,48.96,48.43
235,37.92,15.53,40.35,29.21
236,31.25,10.73,67.79,41.34
237,28.11,19.74,43.06,51.13
238,32.12,21.67,65.93,42.61
239,39.6,21.54,60,36.81
240,32.86,16.55,47.16,34.39
241,28.55,23.79,61.6,42.84
242,28.27,16.13,59.08,45.64
243,37.47,16.92,51.19,47.12
244,29.38,17.37,51.27,55.48
245,28.9,22.5,65.37,36.86
246,31.87,19.7,42.57,26.87
247,29.45,22.02,47.2,50.1
248,30.59,16.81,49.53,23.67
249,21.68,14.05,59.28,44.05
250,31.53,15.08,44.88,38.41
251,30.14,16.2,60.42,31.56
252,30.8,13.07,57,52.34
253,26.92,21.3,56.96,33.89
254,30.12,17.57,60.66,51.39
255,25.82,22.9,61.38,42.99
256,27.09,18.56,61.23,51.81
257,37.57,17.68,57.9,47.85
258,21.72,18.53,51.77,45.77
259,29.45,23.74,60.77,38.62
260,31.79,21.15,43.85,46.49
261,32.67,16.59,42.58,31.57
262,33.04,23.09,54.02,30.06
263,26.17,20.24,63.4,30.14
264,30.48,21.45,48.5,42.13
265,24.78,14.2,64.21,35.59
266,26.61,16.64,63.67,32.57
267,38.66,22.51,29.74,36.67
268,27.99,18.16,46.04,43.37
269,29.09,17.82,60.93,37.02
270,26.64,20.04,51.1,53.24
271,28.13,22.54,39.5,34.13
272,29.19,13.3,47.49,64.06
273,26.61,11.28,50.38,26.69
274,29.87,16.3,49.09,45.46
275,23.43,20.06,38.79,51.63
276,29.88,20.03,64.48,27.76
277,36.04,17.87,62.28,41.83
278,36.09,21.9,61.99,45.54
279,33.52,15.18,56.75,42.77
280,39.75,9.17,51.37,44.19
281,39.44,14.57,51.52,33.26
282,26.53,16.22,65.46,22.76
283,32.32,17.75,53.43,39.32
284,14.86,10.79,49.25,41.08
285,29.98,13.55,59.91,39.74
286,34.79,12.72,97.04,37.95
287,33.92,25.99,55.77,35.52
288,31.79,13.85,56.71,33.59
289,38.14,17.27,39.99,31.94
290,28.79,18.82,67.22,28.38
291,34.28,12.49,32.22,26.66
292,31.42,18.12,35.34,25.25
293,32.45,12.47,43.44,22.75
294,23.23,25.81,56.02,23.88
295,32.45,15.1,43.11,21.3
296,28.33,17.68,58.58,20.57
297,29.75,16.46,75.95,23.49
298,29.78,21.69,52.26,18.96
