Student,FinalGrade1403,Transfer,ACT_Score,ACT_Math,HS_GPA,success
81,86,no,26,33,3.36,yes
82,88,no,21,12,3.47,yes
83,54,no,19,20,2.88,yes
84,75,no,28,29,2.08,yes
85,82,no,8,3,2.76,no
86,88,no,21,17,2.76,yes
87,82,no,22,17,3.05,yes
88,97,no,20,13,3.14,yes
89,89,no,20,25,2.33,yes
90,73,no,20,17,3.44,no
91,95,no,25,27,2.67,yes
92,65,no,21,19,3.16,yes
93,85,no,25,18,3.04,yes
94,71,no,24,18,3.86,no
95,71,yes,29,32,2.1,yes
96,62,no,16,20,2.15,no
97,80,yes,19,18,2.49,yes
98,79,no,26,28,3.02,yes
99,77,no,14,12,3.07,no
100,97,yes,21,21,2.1,yes
101,60,no,22,22,2.61,yes
102,91,no,24,23,3.39,yes
103,79,no,25,15,3.61,yes
104,97,no,28,23,2.51,yes
105,87,no,19,15,2.38,no
106,99,no,21,14,2.78,yes
107,95,no,23,26,2.43,yes
108,94,no,25,18,3.09,yes
109,75,yes,20,19,2.36,no
110,95,no,27,23,2.82,yes
111,93,no,30,36,3.66,yes
112,91,no,16,15,2.68,yes
113,69,yes,25,26,2.67,yes
114,73,no,21,23,2.4,yes
115,61,yes,15,11,2.02,no
116,82,no,22,31,2.19,yes
117,79,no,21,21,2.6,yes
118,61,no,18,14,2.32,no
119,68,no,25,31,2.45,yes
120,70,yes,24,25,2.04,yes
121,75,yes,19,22,2.36,yes
122,86,no,23,29,2.72,yes
123,80,no,18,23,3.4,yes
124,86,yes,21,29,2.31,yes
125,92,no,23,27,2.27,yes
126,100,no,21,20,2.64,yes
127,83,no,19,17,2.72,yes
128,85,no,17,11,2.82,yes
129,82,no,19,18,3.42,no
130,99,no,20,21,3.33,yes
131,89,no,24,33,3.43,yes
132,90,no,21,9,2.45,yes
133,84,no,23,22,2.47,yes
134,95,no,26,25,4,yes
135,82,no,30,33,3.36,yes
136,72,no,23,12,2.97,yes
137,73,no,26,34,2.38,yes
138,79,no,19,15,2.57,no
139,77,no,27,31,2.41,yes
140,80,no,29,26,3.13,yes
141,88,no,24,19,2.53,yes
142,81,yes,18,13,2.71,no
143,56,no,19,18,3.34,no
144,100,no,18,8,2.25,yes
145,86,yes,25,27,2.14,yes
146,44,no,22,25,2.08,no
147,93,no,19,18,2.32,yes
148,100,no,20,24,2.91,yes
149,67,no,24,17,2.39,no
150,64,no,28,24,3.55,yes
151,66,no,22,8,2.05,no
152,81,no,19,16,2.87,yes
153,86,no,23,23,3.42,yes
154,90,no,23,19,2.16,yes
155,73,no,20,28,2.82,yes
156,65,no,24,27,2.92,yes
157,70,no,25,25,2.62,yes
158,68,no,18,20,2.29,no
159,73,no,20,12,2.5,no
160,69,no,20,20,3.65,yes
161,75,no,17,7,2.57,no
162,70,yes,19,18,3.54,no
163,64,no,22,30,2.29,yes
164,99,no,16,9,2.08,no
165,96,no,18,18,3.37,yes
166,72,no,26,24,2.28,yes
167,89,no,27,22,2.85,yes
168,97,no,19,17,4,yes
169,84,no,30,36,3.83,yes
170,65,no,21,14,2.69,yes
171,91,no,24,29,3.15,yes
172,91,no,22,8,2.35,yes
173,76,no,22,13,2.33,yes
174,62,no,16,21,2.5,no
175,70,no,25,18,3.27,yes
176,88,no,20,22,3.32,yes
177,68,no,15,20,3.53,no
178,91,no,21,27,3.72,yes
179,60,no,18,11,2.93,no
180,77,yes,27,23,3.08,yes
181,62,no,22,22,2.32,yes
182,95,no,27,23,2.08,yes
183,54,no,14,6,2.59,no
184,77,no,26,19,3.17,yes
185,87,yes,22,29,4,yes
186,55,no,16,21,2.97,yes
187,91,no,25,23,3.39,yes
188,98,no,22,12,2.84,yes
189,74,no,18,17,3.2,no
190,97,no,20,9,4,yes
191,79,no,17,15,2.16,yes
192,82,no,24,20,2.94,yes
193,59,no,21,34,3.68,yes
194,89,no,19,20,2.41,yes
195,97,no,25,28,2.91,yes
196,67,no,24,27,2.46,yes
197,81,yes,27,20,3.49,yes
198,99,no,19,14,2.56,yes
199,84,no,26,23,3.55,yes
200,89,no,22,18,2.54,yes
201,97,no,30,23,3.18,yes
202,66,no,28,27,2.07,yes
203,49,no,24,25,3.06,no
204,76,no,20,25,3.03,yes
205,95,no,16,17,2.49,yes
206,87,no,27,20,3.67,yes
207,82,no,26,20,2.07,yes
208,80,no,24,19,3.53,yes
209,86,no,28,22,2.97,yes
210,72,no,24,14,2.4,no
211,87,no,22,12,2.1,yes
212,79,no,24,18,2.63,yes
213,88,no,26,29,3.93,yes
214,69,yes,16,16,2.35,no
215,83,no,27,30,3.85,yes
216,71,no,31,34,3.69,yes
217,47,no,22,12,3.58,no
218,78,no,22,19,2.23,yes
219,87,no,21,22,2.69,yes
220,70,no,27,30,2.77,yes
221,85,no,22,14,2.58,yes
222,78,no,27,28,2.4,yes
223,90,no,31,29,3.53,yes
224,58,no,20,15,3.05,no
225,75,no,27,29,3.74,yes
226,84,no,19,18,2.16,yes
227,97,no,20,22,2.13,yes
228,99,no,20,21,3.45,yes
229,70,yes,23,23,2.46,yes
230,84,no,20,18,2.41,yes
231,70,no,21,21,3.34,yes
232,96,no,13,12,2.91,yes
233,88,no,23,29,2.91,yes
234,79,no,27,31,2.39,yes
235,97,no,24,17,3.88,yes
236,89,no,21,35,2.95,yes
237,66,no,18,14,2.5,no
238,59,no,25,20,2.38,no
239,97,no,18,11,2.1,yes
240,76,yes,29,27,3.63,yes
241,73,no,19,12,3.36,no
242,75,no,28,25,2.89,yes
243,85,no,25,24,3.53,yes
244,76,no,19,17,3.53,no
245,81,no,21,18,2.19,yes
246,84,no,14,14,2.09,no
247,96,no,29,25,3.44,yes
248,80,no,21,24,3.1,yes
249,90,no,10,10,3.57,no
250,97,no,16,17,2.09,yes
251,95,no,21,27,2.93,yes
252,75,no,17,8,2.1,no
253,59,no,24,19,2.98,no
254,85,no,20,17,2.18,yes
255,68,no,17,11,3.04,no
256,70,no,26,22,2.41,yes
257,95,no,21,22,2.73,yes
258,79,no,19,21,2.96,yes
259,76,yes,19,13,3.53,no
260,92,no,25,31,2.53,yes
261,86,no,24,10,2.95,no
262,65,no,20,23,2.94,yes
263,70,no,13,10,3.2,no
264,73,no,29,30,4,yes
265,98,yes,27,21,3.27,yes
266,94,yes,19,24,2.82,yes
267,100,yes,27,28,3.16,yes
268,98,no,26,23,3.4,yes
269,87,yes,30,35,2.42,yes
270,86,no,20,17,3.29,yes
271,63,yes,15,9,2.95,no
272,68,no,22,27,2.44,yes
273,73,no,27,30,3.18,yes
274,85,yes,24,19,2.4,yes
275,70,no,18,18,3.07,no
276,98,no,28,33,3.48,yes
277,90,no,24,28,2.76,yes
278,89,yes,16,17,3.23,yes
279,89,no,13,13,2.86,no
280,83,no,19,30,3.67,yes
281,84,no,19,18,2.05,yes
282,75,no,18,15,2.29,yes
283,93,no,25,24,3.24,yes
284,55,no,24,18,3.08,yes
285,84,no,27,31,3.69,yes
286,81,yes,21,14,2.85,yes
287,89,no,25,22,2.66,yes
288,75,no,22,16,3.37,yes
289,86,no,21,30,2.84,yes
290,93,no,23,25,2.61,yes
291,67,no,22,26,2.92,yes
292,89,no,17,4,2.02,no
293,90,no,25,26,2.43,yes
294,82,no,24,14,3.6,yes
295,86,no,17,15,4,yes
296,86,no,20,20,2.13,yes
297,89,no,21,11,2.87,no
298,94,no,28,24,2.89,yes
299,93,no,24,23,2.81,yes
300,86,no,25,25,2.46,yes
301,77,no,36,33,3.48,yes
302,86,no,22,23,2.63,yes
303,88,yes,28,35,2.25,yes
304,83,no,22,15,3.77,yes
305,63,no,26,25,4,yes
306,89,yes,17,20,2.37,yes
307,88,no,22,27,2.5,yes
308,78,no,15,16,2.74,yes
309,83,no,19,20,3.16,yes
310,94,no,26,24,3.75,yes
311,83,yes,24,18,2.65,yes
312,74,no,28,21,2.08,yes
313,92,no,17,33,2.38,yes
314,81,no,20,19,3.06,yes
315,74,no,17,16,2.8,no
316,88,no,19,22,2.41,yes
317,98,no,15,5,2.77,yes
318,75,no,22,15,2.93,yes
319,81,no,29,36,3.11,yes
320,86,no,33,32,4,yes
321,83,no,23,20,2.18,yes
322,85,no,24,18,3.1,yes
323,79,no,22,19,2.48,yes
324,89,no,19,12,2.47,yes
325,96,no,24,27,2.52,yes
326,93,yes,22,27,2.77,yes
327,83,no,26,28,2.02,yes
328,65,yes,32,36,3.17,yes
329,68,no,29,26,3.82,yes
330,81,no,17,18,2.01,yes
331,66,no,18,10,2.17,no
332,87,no,23,21,2.69,yes
333,90,no,24,25,3.48,yes
334,92,no,22,25,2.1,yes
335,64,no,21,18,4,yes
336,82,no,18,15,2.21,yes
337,40,no,20,17,2.92,no
338,79,no,20,27,2.84,yes
339,95,no,20,19,4,yes
340,74,no,29,30,3.54,yes
341,93,no,19,24,2.43,yes
342,61,yes,21,12,2.15,no
343,97,no,17,8,3.99,yes
344,51,no,17,26,2.85,no
345,86,no,14,16,3.2,no
346,65,no,17,9,2.62,no
347,92,yes,15,9,2.45,yes
348,86,no,14,21,2.42,yes
349,84,no,26,33,2.47,yes
350,55,no,27,24,2.72,yes
351,96,no,20,22,3.82,yes
352,88,no,29,36,2.67,yes
353,58,no,19,20,2.48,yes
354,82,no,28,15,3.97,yes
355,85,no,26,18,2.97,yes
356,79,yes,22,18,2.54,yes
357,87,no,17,17,2.82,yes
358,93,no,29,17,3.51,yes
359,100,no,21,22,3.92,yes
360,77,no,19,21,2.69,yes
361,89,no,24,22,2.43,yes
362,92,no,22,26,4,yes
363,62,no,28,32,2.47,yes
364,95,no,21,25,3.04,yes
365,61,no,19,14,3.5,no
366,83,no,19,23,3,yes
367,77,no,21,19,2.26,yes
368,92,no,28,36,2.96,yes
369,82,no,23,13,2.83,yes
370,58,no,22,27,2.42,yes
371,97,no,16,23,2.78,yes
372,87,no,19,24,3.16,yes
373,90,no,24,23,2.13,yes
374,97,no,22,19,2.68,yes
375,93,no,18,22,2.5,yes
376,93,no,14,11,2.22,yes
377,73,no,17,17,2.95,no
378,99,no,26,19,2.78,yes
379,62,no,26,14,3.22,yes
380,59,no,21,15,2.53,yes
381,74,no,19,10,2.53,no
382,59,no,26,26,2.34,yes
383,89,no,24,23,3.67,yes
384,61,no,24,17,2.63,no
385,76,no,14,15,2.01,no
386,64,no,21,16,3.35,no
387,98,no,19,22,2.02,yes
388,68,no,25,13,2.79,yes
389,99,no,25,23,2.65,yes
390,82,yes,17,13,3.38,yes
391,87,no,24,28,2.43,yes
392,88,yes,18,26,4,yes
393,70,no,25,28,2.24,no
394,71,no,26,23,2.91,yes
395,85,no,17,15,2.27,yes
396,97,no,22,16,2.86,yes
397,74,no,25,30,3.69,yes
398,77,no,23,30,3.45,yes
399,75,yes,19,16,4,yes
400,88,no,28,28,2.32,yes
401,56,no,31,29,2.83,yes
402,98,no,17,21,3.09,yes
403,97,no,16,15,3.13,yes
404,64,yes,14,12,2.66,no
405,72,no,23,25,2.39,yes
406,77,no,28,32,3.35,yes
407,46,no,33,36,2.84,yes
408,81,no,20,17,2.11,yes
409,83,no,30,35,4,yes
410,98,no,25,25,3.54,yes
411,75,no,22,8,2.98,yes
412,81,no,21,18,2.98,yes
413,68,no,23,15,2.59,yes
414,69,no,19,19,3.03,yes
415,75,no,21,19,3,no
416,98,no,25,22,2.23,yes
417,96,no,25,26,2.89,yes
418,88,no,28,31,4,yes
419,74,no,25,33,2.06,yes
420,87,no,22,18,2.34,yes
421,98,no,29,23,2.73,yes
422,48,no,21,19,2.34,no
423,59,no,24,21,3.04,no
424,81,no,17,23,2.13,no
425,45,no,20,26,3.3,yes
426,76,no,17,18,2.45,no
427,94,no,20,25,2.18,yes
428,54,no,21,24,2.13,yes
429,93,no,13,13,2.93,yes
430,81,no,22,17,3.18,yes
431,38,no,29,23,3.08,no
432,100,no,18,25,3.44,yes
433,91,no,22,27,2.43,yes
434,69,no,17,18,2.53,yes
435,75,no,22,18,2.56,yes
436,98,no,30,33,3.5,yes
437,98,no,17,10,3.43,yes
438,96,no,24,24,3.17,yes
439,68,no,17,17,3.19,no
440,95,no,19,22,2.83,yes
441,90,no,26,31,3.93,yes
442,77,no,25,29,2.3,yes
443,100,no,19,12,2.2,yes
444,41,no,19,27,2.68,yes
445,61,no,18,9,3.29,no
446,87,no,18,18,2.9,yes
447,71,no,29,32,3.87,yes
448,99,no,22,20,2.84,yes
449,94,no,30,31,2.93,yes
450,79,no,25,26,3.54,yes
451,89,no,22,22,3.73,yes
452,77,no,30,36,2.89,yes
453,90,no,24,21,2.76,yes
454,79,no,20,23,2.65,yes
455,88,no,16,16,2.48,yes
456,77,no,15,15,2.51,no
457,68,no,18,16,2.69,no
458,61,yes,22,20,3.74,no
459,82,no,25,30,2.91,yes
460,99,no,15,20,2.44,yes
461,86,no,24,27,3.26,yes
462,100,no,20,13,2.48,yes
463,90,no,24,15,2.5,yes
464,93,no,16,17,2.15,yes
465,79,no,24,22,2.73,yes
466,73,no,27,24,2.69,yes
467,95,no,21,17,2.34,yes
468,87,no,19,25,2.86,yes
469,60,no,15,11,2.15,yes
470,99,yes,18,14,2.13,yes
471,88,no,23,26,2.18,yes
472,79,no,27,30,2.88,yes
473,86,no,22,16,2.78,no
474,82,yes,23,26,2.69,yes
475,90,yes,27,25,3.08,yes
476,84,no,26,23,2.71,yes
477,80,no,20,25,2.85,yes
478,78,no,17,17,3.65,no
479,99,no,18,21,2.79,yes
480,81,no,21,11,2.65,yes
481,80,no,30,21,2.72,yes
482,85,no,32,30,2.56,yes
483,58,no,26,26,3.11,yes
484,55,no,8,-3,2.58,no
485,92,no,16,17,2.57,yes
486,69,no,29,25,2.25,yes
487,72,no,21,15,3.18,yes
488,95,no,36,33,3.44,yes
489,73,no,29,30,4,yes
490,45,no,23,20,2.95,no
491,77,no,17,26,2.35,yes
492,99,no,27,26,4,yes
493,100,no,27,23,2.79,yes
494,85,no,21,25,3.44,yes
495,59,no,21,21,3.14,yes
496,93,no,27,31,3.64,yes
497,46,no,32,34,4,yes
498,86,no,20,20,2.02,yes
499,78,no,19,24,2.65,yes
500,70,no,25,20,3.15,yes
501,74,yes,20,19,2.86,yes
502,87,no,21,28,3.4,yes
503,87,no,30,32,2.98,yes
504,85,no,19,13,2.33,yes
505,96,no,27,33,2.49,yes
506,84,no,25,19,2.17,yes
507,82,no,23,19,2.66,yes
508,86,no,17,24,3.45,yes
509,85,no,24,21,2.48,yes
510,85,no,17,25,2.52,yes
511,81,yes,24,23,2.54,yes
512,95,yes,11,8,3.83,yes
513,85,no,19,14,2.08,yes
514,54,yes,21,19,2.18,yes
515,97,no,21,23,2.91,yes
516,91,no,25,33,2.91,yes
517,74,no,23,28,2.3,yes
518,89,no,31,36,3.11,yes
519,78,no,22,19,2.35,no
520,91,no,24,13,3.42,yes
521,98,no,22,9,3.24,no
522,75,no,18,12,2.15,yes
523,78,no,25,28,4,yes
524,78,yes,21,21,2.66,yes
525,82,no,27,36,2.81,yes
526,69,yes,33,36,3.55,yes
527,94,no,24,24,2.24,yes
528,97,no,22,21,2.73,yes
529,56,no,25,23,2.4,yes
530,93,no,21,22,2.48,yes
531,99,no,20,18,3.13,yes
532,87,no,24,20,2.72,yes
533,98,no,28,28,3.55,yes
534,60,no,20,11,3.76,no
535,70,no,25,19,2.84,yes
536,70,yes,17,19,2.09,yes
537,95,no,19,11,2.39,yes
538,96,no,28,32,3.22,yes
539,79,no,21,10,2.45,yes
540,85,no,20,26,2.13,yes
541,91,no,18,25,2.04,yes
542,58,no,23,24,2.52,no
543,54,no,27,24,2.02,yes
544,74,no,15,8,3.13,no
545,82,no,27,30,3.09,yes
546,43,no,21,15,2.85,no
547,90,no,27,27,4,yes
548,71,no,26,28,2.15,yes
549,88,no,24,15,2.48,no
550,84,no,15,12,2.75,yes
551,82,no,25,17,2.68,yes
552,75,no,21,31,3.71,yes
553,76,no,24,23,2.51,yes
554,78,no,20,13,3.18,yes
555,73,yes,19,16,3.77,yes
556,97,no,26,28,3.98,yes
557,78,yes,21,15,2.58,yes
558,88,no,27,30,2.67,yes
559,100,yes,29,25,4,yes
560,80,no,18,16,3.85,yes
561,76,no,28,22,2.47,yes
562,61,no,25,20,2.78,yes
563,93,no,21,20,2.64,yes
564,84,no,19,18,3.02,yes
565,81,no,14,18,3.11,yes
566,97,no,15,24,3.48,yes
567,89,no,21,20,3.31,yes
568,84,no,16,18,2.88,no
569,95,no,21,16,2.73,yes
570,94,no,21,23,4,yes
571,79,no,24,27,2.7,yes
572,81,no,25,26,2.94,yes
573,95,no,24,16,2.8,yes
574,93,no,20,18,2.71,yes
575,100,no,15,13,3.2,yes
576,75,no,23,26,3.25,yes
577,82,no,21,17,2.96,yes
578,98,no,28,24,3.38,yes
579,63,no,24,24,3.02,yes
580,66,no,19,19,3.91,yes
581,95,no,21,18,2.87,yes
582,87,no,25,21,4,yes
583,79,no,24,31,3.23,yes
584,69,yes,19,18,2.31,yes
585,53,no,19,26,2.07,yes
586,79,no,24,13,3.24,yes
587,92,no,18,10,2.43,yes
588,78,no,22,20,2.32,yes
589,73,no,19,16,2.24,no
590,86,no,22,30,2.93,yes
591,87,no,23,18,2.78,yes
592,81,no,13,7,4,no
593,98,no,17,28,2.62,yes
594,83,no,24,19,2.44,yes
595,70,no,21,21,3.39,yes
596,81,no,27,30,2.75,yes
597,76,no,27,25,3.55,yes
598,82,yes,30,33,2.7,yes
599,78,yes,20,15,2.58,no
600,73,no,27,30,2.31,yes
601,72,no,14,15,2.05,no
602,61,no,20,16,3.71,no
603,72,no,15,13,3.49,no
604,98,no,33,26,3.72,yes
605,91,no,16,17,3.48,yes
606,99,no,19,17,2.99,yes
607,96,no,20,13,3.44,yes
608,85,no,21,25,2.44,yes
609,48,no,20,16,3.47,no
610,86,no,29,20,2.08,yes
611,70,no,27,29,2.81,yes
612,87,no,23,23,3.46,yes
613,87,no,22,13,3.56,yes
614,70,no,19,27,2.88,yes
615,81,no,23,18,2.88,no
616,65,no,29,34,3.35,yes
617,74,no,21,7,3.2,no
618,74,no,27,16,2.63,yes
619,56,yes,2,3,3.06,no
620,81,no,26,23,3.03,yes
621,75,no,14,19,3.42,no
622,70,yes,27,20,3.47,yes
623,81,no,20,19,2.25,yes
624,93,no,23,26,3.01,yes
625,84,no,20,25,4,yes
626,60,no,22,9,2.06,no
627,54,yes,17,15,2.54,no
628,80,no,16,10,4,no
629,88,no,27,33,3.29,yes
630,51,no,29,36,2.52,yes
631,69,no,17,19,2.6,yes
632,64,no,16,22,2.72,no
633,61,no,22,31,2.25,yes
634,88,no,18,20,2.11,yes
635,93,no,20,17,2.54,yes
636,96,no,20,14,3.22,yes
637,87,no,21,15,2.71,yes
638,80,no,18,23,2.61,yes
639,99,no,24,33,2.54,yes
640,80,no,26,33,2.94,yes
641,85,no,24,18,2.01,yes
642,89,no,21,19,3.16,yes
643,82,no,24,30,3.17,yes
644,83,no,19,28,2.8,yes
645,78,no,26,21,2.09,yes
646,79,yes,24,26,3.1,yes
647,70,no,17,15,3.21,no
648,89,no,26,19,3.9,yes
649,73,no,23,23,3.09,yes
650,91,no,13,17,2.43,yes
651,73,no,23,25,3.03,yes
652,79,no,22,18,2.92,no
653,99,no,24,18,2.12,yes
654,97,no,24,29,2.65,yes
655,98,yes,23,19,3.38,yes
656,84,no,20,20,2.86,yes
657,76,no,16,9,3.3,no
658,82,yes,27,27,2.83,yes
659,85,no,25,32,2.93,yes
660,70,no,20,15,2.19,no
661,89,no,20,20,3.59,yes
662,84,no,21,12,3.9,yes
663,81,yes,26,23,4,yes
664,82,no,19,24,3.34,yes
665,78,no,19,21,3.1,yes
666,98,no,26,16,2.63,yes
667,79,no,14,16,2.84,no
668,71,no,17,7,2.45,no
669,71,no,22,19,2.07,yes
670,71,no,19,20,3.53,yes
671,87,no,25,26,4,yes
672,90,no,26,26,2.96,yes
673,73,no,22,9,2.17,no
674,57,no,31,28,4,yes
675,79,no,21,30,2.74,yes
676,100,no,18,26,3.1,yes
677,76,no,30,36,2.83,yes
678,73,no,25,26,2.79,yes
679,68,no,22,26,2.39,yes
680,86,no,15,13,2.81,no
681,86,no,18,16,2.53,yes
682,59,yes,18,15,2.72,no
683,100,no,19,17,2.98,yes
684,63,no,30,26,4,yes
685,94,no,17,11,3.97,yes
686,79,no,17,19,3.28,yes
687,92,no,15,19,3.47,yes
688,87,no,25,34,3.76,yes
689,56,no,27,31,2.88,yes
690,92,no,12,10,3.19,yes
691,82,no,16,17,2.53,no
692,52,no,23,19,3.27,no
693,62,no,27,23,3.21,no
694,78,no,20,23,3.07,yes
695,99,no,29,29,4,yes
696,94,no,20,21,2.52,yes
697,61,no,14,12,3.25,no
698,94,no,23,21,2.94,yes
699,92,no,21,22,3.28,yes
700,72,yes,21,28,2.73,yes
701,85,no,21,13,2.16,no
702,75,no,18,25,2.88,yes
703,85,no,21,16,3.88,yes
704,95,yes,24,28,2.76,yes
705,77,no,22,25,2.82,yes
706,82,no,18,17,2.67,yes
707,79,no,28,22,3.77,yes
708,74,no,24,20,3.17,yes
709,80,no,21,24,2.96,yes
710,75,no,29,27,2.84,yes
711,51,no,26,20,3.52,no
712,96,no,28,26,2.88,yes
713,95,no,30,25,3.01,yes
714,98,no,20,21,3.04,yes
715,48,yes,25,14,3.29,no
716,97,no,22,25,2.05,yes
717,63,no,22,18,2.4,no
718,52,no,19,17,2.76,no
719,73,no,22,35,2.98,yes
720,85,no,26,26,3.15,yes
721,87,no,22,10,2.99,yes
722,55,no,26,25,3.97,yes
723,73,no,18,13,2.03,no
724,82,no,23,27,2.7,yes
725,69,no,18,24,2.09,yes
726,53,no,25,28,2.27,no
727,88,no,26,25,3.61,yes
728,98,no,33,27,3.61,yes
729,74,no,16,26,2.73,yes
730,81,no,21,25,2.13,yes
731,89,no,23,22,2.74,yes
732,92,no,20,19,3.68,yes
733,69,no,20,15,2.83,yes
734,74,no,23,26,2.93,yes
735,45,no,22,22,2.39,no
736,93,no,28,26,3.12,yes
737,77,yes,26,30,2.9,yes
738,88,no,23,16,2.69,yes
739,67,no,10,5,3.02,no
740,61,no,23,22,3.58,yes
741,91,no,19,12,2.05,yes
742,95,no,21,15,3.34,yes
743,71,no,21,17,3.24,yes
744,82,no,30,27,3.11,yes
745,73,no,18,12,2.95,yes
746,96,no,28,29,3.79,yes
747,84,yes,24,22,3.15,yes
748,61,no,20,19,2.05,no
749,87,no,18,17,3.38,yes
750,55,no,22,21,2.75,no
751,76,no,22,15,3.21,yes
752,75,no,23,26,3.39,yes
753,72,no,7,12,4,no
754,96,no,18,16,2.95,yes
755,69,no,27,22,3.46,yes
756,97,no,15,23,2.4,yes
757,76,no,19,22,2.06,yes
758,90,no,17,19,2.07,yes
759,84,no,16,10,2.45,no
760,87,no,11,8,2.71,yes
761,87,no,25,28,2.5,yes
762,74,no,19,10,3.2,yes
763,69,no,25,24,2.14,yes
764,59,no,23,13,3.63,no
765,81,no,16,13,2.25,no
766,69,no,17,20,2.51,no
767,99,no,21,26,2.68,yes
768,82,no,12,17,2.17,no
769,81,no,16,17,2.45,no
770,55,yes,20,17,3.8,no
771,73,no,22,21,2.58,yes
772,76,no,18,15,3.27,no
773,89,no,23,23,2.44,yes
774,84,no,22,17,2.42,yes
775,72,yes,23,26,2.76,yes
776,79,no,20,18,2.48,yes
777,83,yes,24,17,3.04,yes
778,86,yes,28,33,3,yes
779,83,no,22,16,2.37,yes
780,70,no,24,22,2.46,yes
781,84,no,22,18,2.15,yes
782,80,yes,17,12,2.88,yes
783,98,no,15,13,2.81,yes
784,86,no,18,22,3,yes
785,97,no,30,33,2.64,yes
786,78,no,22,16,2.53,yes
787,68,no,26,27,2.62,yes
788,98,no,23,18,3.32,yes
789,85,no,20,20,3.22,yes
790,54,no,21,27,3.06,yes
791,90,yes,23,26,3.01,yes
792,68,no,26,14,3.97,yes
793,100,no,22,22,3.12,yes
794,64,no,20,13,2.47,no
795,80,no,10,6,2.31,no
796,98,no,28,24,3.03,yes
797,85,no,22,5,3.07,no
798,97,no,20,13,3.12,yes
799,87,yes,21,25,2.69,yes
800,96,yes,21,19,2.3,yes
801,75,no,35,30,3.55,yes
802,85,no,33,29,2.19,yes
803,67,no,19,21,2.62,yes
804,57,no,23,23,2.14,yes
805,91,yes,14,11,2.58,yes
806,51,no,25,29,2.73,no
807,99,no,24,21,3.12,yes
808,91,no,18,10,2.61,yes
809,77,no,21,20,2.18,no
810,69,no,11,13,3.15,no
811,73,yes,35,25,2.62,yes
812,99,no,22,23,3.17,yes
813,95,no,28,26,2.55,yes
814,90,no,20,10,2.33,yes
815,93,no,23,27,2.52,yes
816,72,no,23,22,2.37,yes
817,44,no,24,24,3.08,no
818,94,no,20,19,2.09,yes
819,87,no,15,11,2.98,no
820,79,no,21,15,2.74,yes
821,99,no,19,22,2,yes
822,51,no,23,28,3.13,yes
823,89,no,27,21,2.71,yes
824,64,no,19,18,2.36,no
825,82,no,23,16,2.39,yes
826,69,no,17,17,2.75,no
827,72,no,26,30,2.77,yes
