id,W,X,Y,Z
166,19.8,191.7,39.68,84.6
167,8.9,169.5,55.53,117.5
168,19,196.3,58.78,123.6
169,54.9,191.3,57.13,122.6
170,20.8,179.3,59.93,110.6
171,35.8,171.9,58.18,115.6
172,34.9,195.4,53.27,133.2
173,44.7,167.4,31.85,74.2
174,25.8,196.9,48.87,135.2
175,19.1,169.4,48.07,115
176,16.7,178.1,43.2,121.1
177,3,176.2,58.55,131.5
178,22.4,184.8,45.72,109.1
179,8,187,50.78,97.6
180,15.2,171.6,36.04,86.9
181,4.4,206,59.9,129
182,16.3,213.1,51.92,116.4
183,12.3,185,55.64,138
184,7.9,154.3,58.05,127.6
185,7.2,186.3,40.26,99.6
186,7.1,169.9,52.59,118.8
187,17.3,198.1,46.9,119.1
188,2.1,158,57.67,118.5
189,6.5,168.1,38.83,97.3
190,28.7,176.7,50.92,111
191,11.2,171.3,55.77,113.2
192,4,163.6,55.39,120.1
193,3.8,173.8,61.22,116.8
194,0.5,196.2,52.25,129.7
195,10.1,186.6,47.89,126.7
196,6.8,172.1,63.8,126.1
197,19.4,153.5,54.63,122.5
198,35.9,176.9,65.88,122.1
199,43,177.7,50.76,123.7
200,9.8,169.8,34.42,81.5
201,2.8,203.5,46.4,103
202,63,179.6,52.65,117.2
203,71.5,167.6,49.61,111.5
204,90.1,154.8,54.83,125.7
205,37.8,192.4,61.16,129.1
206,2.2,198.4,48.07,122.5
207,56.6,191.7,49.99,112.4
208,42.5,181,51.05,124
209,6.5,155.5,49.41,112.4
210,2.4,188.3,41.81,111.3
211,17.8,212.2,49.86,119
212,7.8,202.8,37.53,94.9
213,18,198.3,62.75,141.1
214,13.9,161.8,51.36,104.9
215,29.8,202.1,58.99,141.1
216,114.3,183,42.04,86.2
217,3.5,218,50.6,132.4
218,21.7,138.1,48.75,116.6
219,3.7,154.7,42.7,104.9
220,83.8,175.1,46.28,113.9
221,10.4,172.4,40.92,93.6
222,32.5,159.8,48.92,108.7
223,44.4,178.8,47.81,117.2
224,37.1,183.4,41.52,105.4
225,14.4,186.1,54.53,108.7
226,42.7,188.4,52.96,122.4
227,30.2,167,47.11,110.8
228,45.2,207.1,47.06,106.4
229,25.5,155.3,64.58,109.1
230,98.9,131.3,49.23,97.3
231,6.3,167.8,52.1,113.5
232,2.7,182.3,59.99,151.3
233,22.7,196.3,55.29,110.2
234,69.4,219.4,33.31,109.6
235,78.2,185.6,44.17,102
236,31.9,157.9,62.63,112.4
237,57.7,186.3,55.49,117
238,11.6,176.8,56.68,117.4
239,16.2,154.5,42.55,108.2
240,0.7,149.8,53,104.6
241,55,174.1,47.21,103.9
242,6.6,138.4,54.24,91.6
243,56.8,169,48.75,120.5
244,22.3,150,53.05,104.1
245,11.4,157.9,37.17,97
246,21.4,171,49.35,111.4
247,6.5,158.9,46.04,121.3
248,8.8,170.7,60.99,102.6
249,3.2,150.8,42.16,107.6
250,53.7,176.6,37.65,102.2
251,19.2,197.2,45.25,107.1
252,66.5,171.4,64.77,142.5
253,0.4,213.9,37.11,115.7
254,6.3,210.4,54.52,132.2
255,52.3,207.9,45.24,120.5
256,39.7,178.6,56.45,113.4
257,23.3,162.4,42.32,99.9
258,5.8,163.3,49.01,103.6
259,15.5,165.9,52.84,119.4
260,10.1,209.6,46.88,126.2
261,24.7,213.7,55.64,126.8
262,23.5,185.4,42.48,99.8
263,52,180.6,36.3,108.5
264,8.3,216.9,54.3,131.4
265,9.9,188.3,55.98,138.4
266,23.1,193,52.53,115.1
267,50.2,213.7,46.26,123.4
268,0,182.8,37.22,87.9
269,22.5,191.6,35.36,98.1
270,7.8,186.7,48.28,117.8
271,17.4,195.9,44.7,105.7
272,14.1,205.4,53.12,142.9
273,17.5,181.2,49.24,108.7
274,0.2,168.4,51.1,105.2
275,25.6,174.5,55.83,111.1
276,0.4,187.8,53.02,102.8
277,17.1,154.9,48.49,113.1
278,25.6,179,62.03,127.9
279,1,180.2,45.78,101.9
280,34,143,58.32,104
281,1.3,156.5,51.51,105
282,1.4,208.5,47.69,104.9
283,2.5,175.3,57.61,123.4
284,7.9,176.2,51.16,127.8
285,63.3,185.6,69.25,156
286,50.4,151.8,55.28,105.2
287,27,179.7,57.49,97.9
288,6.3,173.1,51.59,127.1
289,0.4,139.3,43.88,101.3
290,27.6,200.1,50.31,120.6
291,34.5,208.1,55.29,121.3
292,6.4,176.7,50.56,127.1
293,0.2,214.1,40.36,123.8
294,37.7,173.6,48.17,101.2
295,5.4,187.5,47.32,105.7
296,40.7,147.3,31.8,69.7
297,43.9,194.9,44.76,112
298,20.7,181.2,35.35,108.2
299,52.5,163.7,47.1,99.9
300,21.2,193.8,51.24,117.8
301,24.8,159.3,53.18,113.4
302,27.5,164.6,48.97,93.6
303,34.1,159.7,48.02,101
304,34.3,212.5,58.2,132.2
305,25.2,154.9,43.34,98.6
306,5.1,162.6,52.06,106.7
307,37,180.3,43.83,100
308,12.1,192.5,53.03,112.9
309,28.1,186.1,43.15,111.1
310,49,164,55.06,119.8
311,29.7,176.7,49.25,110.6
312,51.9,208,48.58,115.7
313,62.9,176.9,48.29,123.7
314,6.9,199.8,54.15,133.2
315,20.5,184.4,57.25,121.3
316,7.7,154.2,49.57,102.7
317,4.2,161.1,48.49,109.5
318,60.5,203.8,44.86,125.4
319,41.3,205.5,51.03,138.8
320,71.2,155.9,54.49,104.4
321,39.1,198.9,45.23,114.8
322,2.7,220.8,43.6,128.4
323,5,190.1,51.23,113.6
324,7.1,148.9,38.87,81.1
325,27.4,188.3,39.73,117.1
326,5,186.2,50.56,111.8
327,25.5,210.9,45.12,107.2
328,87.4,173.5,43.65,116.7
329,28.1,162.8,37.25,106.6
330,4.1,157.3,51.44,118
331,2.4,184.2,47.76,123
332,3,194.3,53.42,112.3
333,6.5,220.9,58.44,127.5
334,9.5,185.4,59.84,139.9
335,19.6,185.7,58.26,125.9
336,6.6,138.2,47.76,106.6
337,9.5,206.8,56.74,151.6
338,5.3,159.9,68.7,129.2
339,72.7,168,53.95,111.1
340,11.6,198.5,46.3,110.6
341,9.7,209.8,50.48,121.6
342,2.7,222.5,45.47,146.9
343,5.5,194.8,49.94,118.7
344,63.2,169.4,56.34,120.9
345,22.2,164.2,52.21,116.5
346,20.6,187.9,45.12,100
347,19.8,168.1,46.65,105.6
348,13.1,194.6,56.7,127.2
349,3.1,181.1,47.12,107.6
350,39,187.4,53.76,113.5
351,5.4,182,54.89,111.4
352,27,170,45.11,100.6
353,6,211.4,56.46,153.9
354,36.9,196.6,35.72,82.3
355,10.2,157.5,38.93,82.8
356,31.8,170.1,45.97,110.4
357,40.3,163,46.22,109.4
358,19.5,131,45.39,82.4
359,1.1,198.8,38.65,98.4
360,24.3,200.4,59.31,123.5
361,11.9,190.6,59.15,137.8
362,55.5,186,42.54,93.2
363,21.8,184.1,42.35,98.9
364,29.6,171.6,43.77,112.4
365,24.9,199.5,58.11,120.9
366,9.8,172.8,52.82,130.5
367,20.3,162.3,57.68,124.7
368,32.4,196.6,50.42,113.8
369,32.5,186.1,55.55,119.3
370,13.3,181.4,41.1,106
371,20.2,176.6,47.5,88.2
372,12.5,176.8,58.69,123.9
373,2.8,182.2,50.32,111.1
374,13.6,156.3,51.14,106.3
375,6.4,174.9,51.1,137.2
376,42.7,200.2,58.76,118.8
377,90.9,154,49.25,109
378,18.8,175.5,38.62,101.1
379,3.1,137.7,47.52,95.6
380,15.4,184.8,37.7,99.1
381,4,165,39.89,106.9
382,17.3,171.3,51.78,110.7
383,1.7,147,30.66,68
384,23.8,225.4,53.76,135.4
385,13.2,191.1,40.32,107.7
386,23.4,168.9,34.49,114.6
387,8.3,157.7,36.38,84.5
388,16.9,174,43.29,104.7
389,20.2,168.8,55.14,126.6
390,19.9,213,54.83,125.7
391,23.2,184,40.21,101.2
392,0.6,189.9,44.84,121.2
393,23.3,198.5,53.34,123
394,4.2,180.6,52.22,95.9
395,3.9,182.1,53.59,118.2
396,6.6,179.1,47.3,98
397,7.1,190.4,43.77,98.3
398,7.8,167.3,46.36,95.4
399,9.7,177.6,51.49,108.5
400,9.1,175.6,62.73,109.8
401,11.9,205.2,48.08,126.3
402,0.5,225.9,38.32,136.5
403,39.5,207.4,40.12,109.1
404,22.1,170.9,48.26,102.3
405,4.8,179.7,63.37,124
406,20.8,174.2,39.14,117.3
407,3,169.7,48.96,118.2
408,37.5,180.9,46.01,111.7
409,40,160.4,42.67,99.4
410,85.1,187.6,42.76,125.5
411,23.8,170.3,45.82,105.9
412,54.5,157.5,43.51,108.9
413,1.1,139.6,40.57,90.3
414,14.8,202,43.5,94.7
415,37.1,188.6,51.89,126.8
416,5.4,183.9,49.06,112.3
417,1.8,134.5,63.98,128.4
418,8.6,178.7,45.62,113.6
419,16.9,203.3,48.8,128.1
420,14.1,165.7,57.67,100.5
421,7.4,169.9,49.1,112.7
422,13,192.2,49.45,121
423,6.5,192.7,52.97,129.5
424,11.7,206.9,46.59,109.6
425,26.6,192.8,39.64,93.9
426,26.1,178.1,55.71,107.4
427,15.5,201.8,41.58,109.2
428,7.5,180.2,56.91,124.6
429,52.3,177.6,59.04,117.3
430,26.6,174.4,51.12,117.9
431,20.5,174.6,44.16,87.2
432,63.1,217.6,49.68,133.5
433,125.1,200.8,49.22,115.7
434,6.4,200.1,38.57,111.9
435,21.3,168,42.94,104.3
436,37.7,164.3,43.28,111.5
437,0.4,189.6,45.66,97.1
438,4,190.8,46.74,131.4
439,3.3,174.3,51.7,119.4
440,1.4,177.5,50.53,117
441,17.7,162.8,43.03,90.3
442,14.8,178.7,42.32,95.9
443,6.6,146.9,42,118.7
444,9.2,198.4,51.23,118.1
445,11.1,189.3,68.51,152
446,2.1,165.8,46.91,94.1
447,18,199,41.22,105.8
448,9.3,196.7,46.35,114.6
449,0.5,159.1,54.07,117.2
450,6.8,138.4,49.39,106.4
451,6.9,183.2,47.5,111.4
452,0.8,186.8,46.69,105.4
453,49,200.5,54.57,113.2
454,5.9,192.5,40.79,115.9
455,13.6,176.4,48.31,112
456,11.1,198.2,42.31,110.7
457,19.9,176.8,43.03,101.4
458,46.9,198.3,55.41,131.3
459,1.4,166.5,34.8,81.2
460,7.7,157.3,49.23,110.6
461,5.2,165.6,52.1,103.8
462,36.7,203.9,49.57,114.7
463,35.2,148.3,51.38,120.6
464,6.5,189.4,50.69,124.2
465,18.4,185.9,52.51,123.9
466,17,204.3,49.26,94.7
467,41.1,174.4,43.98,120.7
468,38.6,196,46.38,123.3
469,17.3,182.4,49.99,120.7
470,32.4,193.6,40.83,105
471,30.9,137.4,49.34,103.7
472,31.7,180.2,53.61,102.7
473,11.5,192.8,40.96,92.4
474,17.1,181.2,49.79,102.3
475,22,159.7,46.25,118.6
476,59.7,195.4,57,149.7
477,9.6,205.9,47.3,105.5
478,57.6,172.4,42.69,91.9
479,58.5,201.3,44.96,115.8
480,35.4,205.9,53.19,118.6
481,3.7,182,39.43,98
482,1.7,151.8,56.19,110
483,35.4,172.9,54.27,111.3
484,11.1,169.5,45.98,101.9
485,16.3,139.9,51.83,81.6
486,4.8,174.9,39.84,96
487,90.6,183.1,50.56,112.8
488,9.6,210.5,58.42,127.1
489,22,142.4,48.99,107.6
490,24.4,171.1,62.31,110
491,35.7,197.5,68.24,143
492,13.2,181.9,38.1,95.9
493,6.4,217.9,54.99,128.6
494,6.9,154.2,37.74,94.3
495,27.2,204.2,49.17,139.1
496,43.4,166.7,46.23,99.2
497,28.8,177.1,45.04,92.4
498,32.4,226.3,47.95,121.4
499,19.6,185.3,44.41,97.1
500,14.1,143.9,51.84,108.3
501,4.4,160.9,56.51,138.6
502,38.7,148.4,56.59,122.3
503,51.6,197.5,53.41,127.9
504,9.8,167.8,52.96,100.2
505,6,191.4,53.05,116.4
506,2,164.2,49.71,101.9
507,19.1,173.8,37.01,99.9
508,16.9,161.4,40.29,96.3
509,13.6,153.2,40.32,90
510,19.3,151,55.2,121.6
511,4.9,168.6,49.55,108.6
512,16.8,198.1,52.68,116.9
513,2.7,206.9,56.71,121.3
514,8.3,149.1,47.07,101.6
515,17.9,193.1,52.79,124.2
516,10.8,183.7,53.86,127.4
517,0.5,165.9,52.57,94.7
518,10.8,182.5,49.37,127.7
519,16.6,195.4,54.01,120.9
520,0.3,214.9,49.33,125.9
521,5.4,165.3,47.96,107
522,4.6,198.5,42.48,107.2
523,1.2,167.7,37.17,91.8
524,6.2,179.1,55,139.3
525,36.3,203.4,60.87,122.8
526,88.7,195.3,58.66,124.8
527,3.7,206.1,47.21,111.5
528,4.6,190.6,40.95,113.9
529,7.8,222.4,48.77,129.7
530,1.3,168.8,49.38,115.4
531,41.3,159.3,45.97,101.3
532,27.9,158.4,61.79,128.6
533,48.2,153.8,55.01,107.2
534,57.6,186.4,39.05,105.5
535,7.3,210.8,68.15,152.1
536,18.8,128.7,46.82,110.8
537,8.9,222.7,38.14,115.8
538,39,177.2,52.48,119
539,10.1,204.6,53.38,136
540,0.1,179.8,57.89,131.8
541,80.7,197.7,47.02,130.4
542,19,142.2,50.71,111.8
543,28.7,149.7,49.68,97.5
544,10.6,197,51.47,111.3
545,30.1,162.7,44.55,100.3
546,12.4,155.8,44.97,120.7
547,0.1,175.8,53.65,104.3
548,31.9,174,43.51,102.2
549,8.9,170.6,39.42,108.1
550,34.9,217.7,59.12,146.4
551,10.1,168.9,47.07,112.3
552,29.6,237.9,50.36,136
553,4.9,184.6,48.53,120.4
554,18.8,205.2,46.75,111.9
555,34.3,164.6,50.07,112.8
556,1.7,170,45.2,99.4
557,1.1,168.1,47.78,100
558,11.8,154.4,57.21,124.4
559,19.8,190.8,43.23,112.1
560,27.4,160,50.94,127.1
561,5.2,152.9,31.36,82.3
562,15.8,159.4,53.92,98.3
563,26.9,157.6,42.47,103.4
564,9.9,192.3,52.9,122.9
565,9.2,187.5,37.87,93.3
566,24,176,41.47,102.6
567,14.7,221.2,50.99,139.9
568,5.8,196.9,48.05,104.4
569,7.2,172.9,40.36,89.8
570,23.1,158.1,53.96,100.5
571,42.7,179.1,45.53,113.7
572,19.6,192.2,62.02,144.5
573,14.9,236.5,43,136.2
574,23.1,194.4,47.03,133.5
575,4.9,218.5,66.9,150.3
576,35.6,175.4,49.06,120.1
577,3,142.8,48.06,95.4
578,6.8,196.9,61.72,105.8
579,12.3,186.3,51.24,101.1
580,1.3,151.9,44.74,96.4
581,8.1,174.3,52.78,124.4
582,2.5,189.1,47.29,109.8
583,74.9,208.7,50.92,122.6
584,7.6,189.7,48.11,130.1
585,11.4,171.3,52.4,121.4
586,23.7,193.1,61.85,130.5
587,28.5,201.4,33.76,101.2
588,32.4,176.7,45.96,102.2
589,89.7,197.5,59.74,127.5
590,62.9,220.8,50.54,122.6
591,3.8,135.8,36.29,67.5
592,0.5,193.7,34.73,92.2
593,44.8,191.1,51.88,119.7
594,18,191.4,36.32,97.3
595,18,160.4,49.35,106.7
596,10.9,170.8,52.48,125.1
597,49.4,208.7,49.65,126.3
598,34.7,204.1,45.23,120.1
599,4.4,181.3,52.07,121.3
600,1.1,171.5,52.08,89.4
601,21.7,193,45.41,115.9
602,44.5,146.1,39.69,94
603,55.1,194.9,37.22,104.5
604,6.5,171.7,32.07,116.1
605,33.8,187.6,52.21,106.4
606,133.9,184.6,44.83,90.5
607,44.4,164.3,63.38,109.9
608,62.4,169.3,46.13,110.3
609,12.3,184.2,54.23,111.5
610,7.1,161.9,50.53,110.4
611,2.9,199.7,56.28,136.6
612,15,152.3,51.25,104.3
613,0.5,177.8,63.09,135.3
614,3.4,187.2,45.09,94
615,75.5,136.7,51.62,91.3
616,25.9,158.4,57.55,116.6
617,59.6,207.3,44.04,119.1
618,0.7,204.8,35.05,113.4
619,24.6,166.2,52.35,114
620,12.5,174.8,51.15,121.2
621,2.8,180.5,46.85,119.8
622,48.9,192.3,50.16,125.4
623,32.7,183.2,46.99,110.7
624,52,150,43.77,94.4
625,29.4,209.9,59.36,143.4
626,71.6,182.7,50.19,130.3
627,3.1,168.4,42.33,78.9
628,7.2,183.8,58.9,135.1
629,1.8,181.2,48.7,88.5
630,1.8,181.1,43.91,99.3
631,0.5,139.4,51.58,99.9
632,1.4,180.9,44.81,112.8
633,75.3,210.4,40.02,123.3
634,4.5,189.9,53.29,129
635,7.1,198.3,43.48,113.1
636,29.6,192.5,69.13,138.5
637,26.7,144.1,40.62,80.6
638,3.8,196,57.59,113.9
639,2,191.9,64.38,122.4
640,46.3,151.5,42.52,81.1
641,2.5,226.2,50.41,128.7
642,5.4,171.2,46.21,114
643,70.6,167,43.06,87.1
644,32.7,185.4,49.9,119.8
645,10.8,177.5,44.16,129.3
646,17.8,200.5,40.95,99.4
647,45.4,150.4,46.19,83.9
648,4.9,186.7,52.97,131.1
649,3.4,218.6,37.76,107.8
650,24.3,142.1,57.63,121.4
651,7.3,205.5,54.02,130.3
652,53.3,191.2,52.93,115
653,8.4,190.7,43.83,105.9
654,4.1,186.6,58.65,133.8
655,9,218.9,55.36,130.6
656,23.4,181,52.76,119
657,12.9,191,35.51,97.2
658,49.7,146.3,60.69,106.4
659,7.6,183.8,46.01,109.4
660,2.2,152.7,68.22,128.2
661,4.8,160.9,41.63,94.9
662,6.5,148.3,36.71,89
663,5,187.5,47.03,114.2
664,19.8,183.6,54.63,117
665,24.8,173.4,56.88,125.4
666,3,185.2,49.1,124.7
667,6.8,165.7,38.25,71.4
668,7.1,209.5,36.09,108.2
669,1.3,176.8,53.06,115.2
670,7.4,187.8,58.84,130.5
671,8.1,198.6,47.38,123.9
672,3.2,182,56.51,115.5
673,12.9,174.5,49.62,135.9
674,9.7,200.8,58.99,139.5
675,30.9,192,56.19,120
676,13.8,186.6,58.9,125.7
677,11.7,180.8,45.39,98.4
678,44.2,178.8,50.96,128.1
679,28.9,153.6,55.75,117.2
680,37.2,178.7,52.49,118.6
681,27.8,177.3,48.26,107.8
682,6.1,232.6,54.08,133.9
683,49.3,248.2,42.99,115.1
684,16.8,210.8,43.65,123.7
685,14.4,185.7,49.7,92.6
686,54.3,186.2,68.87,127.7
687,44.8,165.7,55.57,106.3
688,4.6,196.9,54.59,136.8
689,19.7,168.9,42.24,81.1
690,24,204.1,45.66,114.7
691,10.4,149.2,37.1,95.4
692,14.6,212.4,42.32,131.8
693,52.3,168.7,62.21,124.5
694,48.5,190.8,44.66,99.2
695,20.6,217.2,47.95,125.1
696,8.2,172.3,48.48,121.5
697,13.5,162.8,63.41,115.5
698,0.8,168.9,43.02,105.9
699,21.2,166.4,45.12,89.8
700,31.8,207.2,38.32,105.9
701,1.3,193.8,40.98,113.5
702,49.3,136.1,44.88,100.2
703,24.6,166.2,51.43,118.3
704,45.1,194,59.56,152.2
705,22.3,146.1,57.15,114
706,5.9,166.2,53.72,129.1
707,52.6,169.7,54.74,116.8
708,33.1,180.9,47.76,106.2
709,16.3,185,51.63,116.7
710,21.4,194.1,49.84,124.3
711,22.2,172.6,37.46,115.8
712,33.1,140.6,51.07,104.2
713,27.3,177.4,50.57,120.1
714,23.9,169.2,44.95,93.5
715,1.8,202.4,51.19,109.3
716,10.7,198.1,51.34,117.7
717,15.6,179.1,41.6,104
718,2.5,137.9,47.6,94.3
719,33.3,212.5,43.63,97.3
720,62.1,173.7,48.48,111.2
721,4.7,177.2,37.56,99.4
722,43,200.8,51.02,127.1
723,6.7,200.1,58.44,125.9
724,31.7,162.4,44.34,89.9
725,6.5,186.9,53.43,120.9
726,20.6,198.3,53.32,124.4
727,15.7,172.4,51.84,114.9
728,34.2,167,43.22,100.8
729,9.4,161.1,51.59,104.8
730,8.1,192,48.73,110.4
731,3.8,148.1,58.1,130.9
732,14.2,221.9,54.96,132.2
733,3.1,159.8,57.05,124.5
734,30.5,182.8,62.38,128.8
735,0.6,175.6,48.54,111.6
736,25.1,186.5,44.45,100.3
737,33.6,206.2,47.7,117.6
738,34.6,188.5,60.55,137.9
739,41.9,159.7,57.92,133.7
740,33.9,211.7,50.8,140.2
741,13.2,197.6,56.21,122.6
742,36.1,189.1,44.55,102.9
743,7.5,210.3,53.79,139
744,6.9,223,41.9,98.5
745,13.2,203.9,45.04,97.5
746,13.5,164.1,43.86,114.6
747,18.9,188.8,50.55,121.6
748,0.2,166.7,43.85,103.5
749,4,179.2,55.66,119.3
750,51.6,163.7,50.78,99.8
751,18.6,146.9,55.04,124.1
752,21.1,198,46.64,129.7
753,25.3,215.7,49.09,135.4
754,112.2,170.4,40.46,99.4
755,13.7,182.7,56.11,114.2
756,19.7,210.3,52.11,133.6
757,50.2,157.6,70.61,120.1
758,2.3,165.6,39.99,98.6
759,30.1,182,54.17,134.5
760,7.6,159.2,32.33,95.1
761,20.1,206.6,43.38,120
762,18.5,217,57.97,125.4
763,2.8,217.1,53.17,145.7
764,7,181.3,52.26,122.2
765,10.7,205.3,61.33,142
766,1.8,204.9,48.62,121.1
767,43,194.3,51.91,114.6
768,8,199.7,52.9,111.9
769,4.6,210.1,49.1,103.8
770,38.1,150.4,39.43,96.8
771,13.8,177.1,57.25,115.3
772,81.8,156.5,48.93,107.9
773,23.3,184.3,48.2,128
774,12.6,174,65.12,132
775,46.7,187.5,39.46,102.5
776,15.4,199,41.32,95.5
777,38.2,185.5,54.52,136.8
778,46.2,163.6,52.83,102.2
779,2.4,196.2,52.27,123.7
780,2.7,183,50.48,116
781,14.3,184.9,46.25,113.3
782,7.4,171.3,53.17,111.7
783,37.5,176.9,59.96,116.2
784,26.5,165.7,51.66,114.2
785,2,183.1,51.04,113.7
786,25.5,167.8,44.2,123.9
787,20.9,190.7,50.83,123.2
788,10.9,184.3,49.54,110.3
789,5.5,199.7,44.94,94.1
790,2.2,173.2,49.79,101.6
791,25.7,187.4,58.9,139.7
792,58.5,189.9,55.66,129.6
793,9.8,151.6,55.84,97
794,42.5,145.9,43.92,78
795,22.4,167.6,57.07,119.4
796,33.6,197.9,54.78,129.2
797,34.1,177.8,51.67,110.2
798,34.4,229.1,56.38,137.4
799,22.4,158,50.21,112.5
800,16.7,199.5,47.08,106.1
801,18.6,192.1,45.65,107.1
802,51.8,145.7,50.75,107.4
