visitors,streamingTV,socialMedia,billboardsPrint
1690,202.156,126.892,11.42320476
4474,255.972,75.995,11.51044653
2708,732.542,85.495,10.60896405
1525,288.597,131.601,8.279560718
1871,448.99,97.586,10.67068552
2702,888.119,81.552,11.93992876
2269,484.267,102.535,6.15942767
1453,464.351,4.496,7.047786065
715,565.456,2.498,12.45655792
2004,709.716,1.363,7.46885773
3429,1172.135,20.978,10.3045468
2306,495.372,97.327,9.959313054
1701,355.467,32.378,7.514396726
4506,368.151,52.9,12.22041812
2099,509.895,68.611,9.386039191
2021,408.605,75.234,9.365654078
825,198.159,17.559,10.68255727
4496,390.386,64.396,9.998253788
2135,485.549,137.928,10.90710988
1903,228.392,141.559,10.05381421
2779,457.068,51.43,16.4146675
1084,291.112,21.229,11.94919045
240,185.895,6.142,6.918861689
2098,294.629,142.729,8.840640177
1531,386.159,45.741,7.375652973
1507,239.243,105.96,7.760161383
812,354.889,4.257,11.00380767
3561,472.779,117.551,11.03194699
2131,291.344,33.098,9.60017607
1090,673.35,4.706,7.862187641
4567,353.965,73.787,8.81847546
2817,679.665,51.934,10.19496556
2315,504.408,80.818,12.37768658
1224,132.988,127.349,13.61418287
3094,478.384,158.205,10.10273327
2200,475.549,48.766,11.41134104
1958,422.364,105.93,17.22355089
1403,243.56,57.008,6.640494457
922,515.518,5.502,4.961130885
1934,254.198,191.607,9.095649393
553,484.665,3.767,12.45265459
800,282.825,38.689,13.18556255
2458,438.097,231.455,9.521559844
1958,349.6,101.641,15.77839387
2378,845.537,23.812,9.604133078
1528,345.813,93.674,11.59947369
318,247.254,36.783,12.28093277
1248,139.909,126.215,10.98598662
4583,422.639,97.659,12.43737572
2866,921.192,76.086,9.664874017
962,499.214,9.541,11.36630583
838,386.3,3.788,12.50029365
2156,440.281,146.306,12.97794047
1430,237.687,79.768,10.42144448
1869,172.825,75.538,10.60390868
1708,529.527,61.76,12.04446356
1361,236.93,63.311,8.084441084
2965,968.767,53.462,6.450782803
2147,330.111,105.505,10.54686601
1485,243.801,114.756,7.558570438
1224,507.285,3.281,9.076912248
1176,515.126,3.636,11.73026528
2263,433.614,73.609,12.3378338
3153,185.891,92.555,11.42170462
1152,333.345,92.765,12.6765328
4338,341.37,85.203,12.09249417
4369,413.819,45.765,10.44641211
1533,231.489,122.865,9.56478554
1570,431.602,33.175,8.736911353
1364,253.628,83.991,7.526581956
2032,689.653,66.224,8.867198845
2019,308.08,92.705,8.796571271
1714,139.768,205.74,11.8316911
1285,275.634,77.137,7.792918293
1543,400.262,98.394,10.22541484
737,251.659,1.765,12.71343007
1407,140.412,125.278,12.15912472
4726,481.656,54.926,8.362113391
2173,560.32,112.873,10.39846639
736,224.813,26.419,5.201325316
4994,768.311,85.957,15.59238633
1126,260.015,22.971,13.46472178
2685,249.786,56.719,11.67672805
1525,340.032,23.352,7.570821766
1508,529.677,23.936,9.622979249
1003,302.707,4.222,15.10498487
1587,223.716,25.127,10.35719397
5233,813.329,79.386,11.26656444
1091,349.011,46.647,8.654186274
1598,328.322,111.283,10.95075324
1312,109.613,90.682,7.44010541
4412,478.429,43.886,8.335142415
659,395.64,5.008,6.893733644
2669,665.946,99.773,13.08564316
535,218.484,52.063,12.69392658
1570,145.078,70.456,13.77758238
1408,175.041,76.79,6.19268694
1250,225.623,26.561,7.715434148
1266,485.266,17.024,11.55125371
1627,386.439,27.294,8.5242752
1469,688.203,24.847,9.216637108
3937,328.391,54.807,11.80503709
2380,334.224,111.811,8.673499067
2013,537.689,43.068,13.19046072
1263,275.681,37.301,13.72701398
2537,707.125,61.347,13.0793438
1984,267.938,148.947,7.708858489
1722,602.533,38.871,10.82533933
2374,624.66,114.877,12.96541226
2720,851.17,31.858,10.9777672
5166,679.975,59.208,3.207487354
1112,186.882,22.265,11.27141844
3377,1085.174,44.531,8.36131313
258,310.634,3.607,9.872223394
1768,547.364,35.089,9.190213726
1471,318.209,38.185,9.538860633
3144,945.475,97.606,11.49385963
403,248.917,2.796,6.781259575
1300,473.667,61.424,8.142803516
