weight,temp
42.5,173.3
56.4,173.6
36.8,173.1
42,173.6
49.4,170.2
60.4,165.9
50.8,176
45.5,178.8
37.4,181.9
38.7,177.2
50.7,165.8
40.8,178.6
31.6,182.6
45.9,177.1
60.3,162.6
49.8,169.2
43.1,172.6
54,165.2
44.8,175.3
64.2,160.1
63.4,164
44.4,179.8
47.7,174.2
49.9,177
50.6,172.1
58.3,164.6
38,179.1
45.3,180.3
40.6,174.8
41,175.4
37.3,184.2
43.1,173.7
41.1,180.2
55.8,167.5
62.9,164.2
39.4,173.9
44.7,174.4
38.6,186.4
36.2,177.2
49.4,171.6
69.8,169.2
36.8,174.6
29.1,187.8
71,159.7
34.7,183.7
45.7,168.5
40.4,177.8
46.8,169
53,169.8
39.6,176.3
43,176.7
41.7,184.4
30.5,186
32.7,190.8
43.3,182
31.8,185.3
56.2,171.9
43.9,176.7
45.3,174.6
49.3,175.6
37.3,171.5
56,171
32.7,186.5
46.4,171.1
48,171.6
50.7,168.2
51.2,174.8
46.6,165.8
37.1,185.1
46.1,167.6
45.7,182
41.9,177.5
33.8,179.9
42.2,171.3
41.3,189
52.7,171.9
50.6,173.4
70,164
62.1,155
41.5,178.6
45.5,176.2
50.3,172.8
50.3,171.8
45.2,175.3
50.1,165.8
31.5,182
55.3,166.3
41.8,179.4
31.3,189.9
49,171.5
46.6,170.8
43,176.5
43,171.4
37.6,175.5
42.9,183.5
40.2,179.5
60.2,168.7
45.3,175.5
24.5,183.7
49.2,170.5
45.9,173.4
50.4,174.4
37.8,175.8
59.3,158
39.1,174.3
54.3,173.1
61.7,169.2
28.7,184.6
41.8,178
43.3,173.6
35.6,178.3
36,174.8
40.3,178.2
51.5,169.9
44.6,174.2
46.5,172.2
55.3,167.7
63.1,163.8
50.1,169.5
53.6,178.3
39.8,179.7
49.5,170
44.5,168.2
40.6,175
29.5,184.7
47.6,181
32.3,186.4
42.6,173.7
42.7,177.3
48,173.8
46,171.3
30.3,184.9
51,165.4
36.3,182.2
46.5,173.4
51.5,170.3
57,178.2
55,171.8
53.5,170.5
51.8,170.1
49.9,169.3
37.1,176
56.8,163.8
49.6,172.1
38.7,182.7
44.8,178.7
59.8,164.2
48.7,173.2
47.5,174.9
54.5,164.4
45.9,176.9
47.6,167.2
63.4,168.1
43.3,176.1
47.9,174.4
48.6,164.9
43.8,182.2
52,170.4
58,164.9
48.3,171.7
19.5,189
46.5,181.2
35.9,180
35.5,182.9
50.7,168.2
42.2,182.8
39.9,175.9
43.3,175
37.3,183.2
39.8,181.4
51.9,172
48.9,177.8
42.2,176.6
41.7,175.8
39.3,174.1
32.2,173.9
48.3,172.6
40.1,175.4
52.8,174.4
45.7,181.2
47.2,176.5
34.3,177.6
50.4,174.5
50.8,170.4
40.4,177.8
55.2,165.3
55.7,166.8
58.2,167.3
36.9,176.7
50,167.2
17.8,191.9
38.7,174.7
50.4,170.1
33.9,173.6
47.1,174.5
51.4,168.8
31.3,175.6
58.8,170.4
55.5,170.9
47.2,173
53.7,168.7
27.2,180.9
51.1,166.3
46.7,171
54.2,168.2
50.3,171.4
47.7,170.9
46.2,172.6
53.9,178.5
54.4,169.4
47.1,173.8
42.1,174.4
49.9,172.6
46.1,172.7
38.9,178.1
49.8,171.2
48,174.7
45,172.8
60.1,173.2
46.6,174.2
65.4,159.4
41.5,183.9
56,165.7
53.2,170.6
49.9,170.8
41.2,177.4
30.9,177.9
40.7,170.7
48.3,163.1
46,172.6
44.9,175.9
34,181.3
49.9,164.5
47.3,169.1
41.8,176.5
37.9,182.7
42.4,177
54.6,181.9
28.2,179
41.1,181
47.3,166.8
52.5,161.9
43.6,177.7
37.5,174
48,173.8
46.3,176.9
49.6,174.5
40.6,178.7
37.4,175.1
49.6,171.9
60,166.4
43.2,176.6
42,186.4
57.9,179.9
45.9,178.2
31.3,182.7
37.7,182.9
44.4,183
41.6,179.2
25,189.9
35,171.3
37,178.7
38.6,176.9
59.3,166
52.4,163.4
42.7,172.6
39.5,175.2
51.4,169.5
51.3,169.8
51.5,173.5
39.1,180.3
37.2,175.3
41.4,178.6
40.5,175.9
27.3,182.9
43.8,176.5
44.2,169.5
44,183.9
46.6,172.6
43.2,179.5
36.9,177.7
41.3,173.7
41.9,177.2
44.1,173
40,179.1
31.3,184.8
54.3,163.6
42.8,179
40.2,178
45.3,174.5
50.5,175.7
41.2,174.6
24,183.2
47.9,170.3
51.4,172.6
32.1,179.7
44.5,174.5
44.2,178.9
55.7,160.8
27.4,181
38.8,175.9
42.9,170.4
42.6,181.8
52,168.6
54.1,160.7
42.8,168.6
36.7,183.8
49.7,165.5
47.1,166.1
51.5,165.7
37.3,175.2
20.8,189.3
41.2,173.5
55.2,162.3
44.8,174.6
50.1,166.2
38.9,177.3
45,171.3
43.6,172.1
40.5,177.6
55,165.3
32.8,175.7
29.6,184.7
44.1,178
34,186.1
50.5,168.4
40.1,172.8
45.4,170.2
51,165.6
41.6,173.3
42.2,174
51.5,177.1
52.1,177.1
47.2,170.4
41.8,173.4
34.8,176.7
37.6,181.1
45.6,170.8
36.5,174.6
48.5,172.1
46.2,174.8
37,177.8
44.2,174
37.4,171.7
54.8,163.9
32.8,178.7
46.1,164
49.4,172.3
35,177.7
63.5,163.9
33.6,178.7
42.9,169.9
47.4,181.6
34.7,192.2
38.3,188.1
52.8,174.4
42.6,171.3
46.1,174.8
29,186.4
49.5,170.8
50,176.1
37.1,181.6
41.6,172
59.7,161.7
39.3,175.5
37,175.8
43.9,174.6
38.8,183.1
27.7,183.4
47.5,169.6
47.4,173.8
42.9,172.3
55.3,167
52.7,175.9
40.6,177.4
56.5,167
31,191
47.4,174.2
39.9,171.2
47.1,175
51.9,170.2
58.8,165.3
58.7,166.5
39.9,172.9
50.4,162.7
37.8,177.2
53.7,168.1
61,166.2
41,175
43.8,177.7
59.1,167.7
58.9,176.3
52.2,170.3
53.4,170.1
48.7,162.8
40.3,171.6
46.2,169.5
29.2,190.1
47.2,174.7
41.7,180.8
52.5,170.3
47.9,174.7
35.8,181
42,178.9
51,164.8
33,168.8
44.1,176.8
43.9,170.4
44.6,173.7
33,182.3
50.3,171.8
39.8,180.2
41.4,183.6
31.5,186.4
33.5,175.8
54.8,168.3
42.2,175.9
58.2,174.4
41.7,179.3
54.8,168
24.8,185.1
45.5,170.9
55.9,170.9
42.8,176.5
54.9,174
45,173.4
38.8,174.4
48.4,172.6
51.8,173
48.4,171.6
46.5,179.7
64.8,163.8
42.8,179
42.1,176
45.2,176
41.2,182.3
43.5,181.4
44.9,181
38.6,176.2
46.2,175.2
42.7,177.4
43.4,174.5
31.9,181.6
43,168.3
44.7,165.1
38.6,180.6
57.9,167.3
45.9,175.3
32.8,179.5
60.7,159
50.4,170.2
60.4,167.6
30.5,179.4
36,179.5
37.3,182.8
55.2,162.1
48.4,169.4
41.2,177.3
47.7,174.7
43.7,182.4
43.7,176.3
46.5,168.8
31.6,174.5
40.8,174.4
40.8,173.2
41.5,178.9
56.8,168.1
45.8,167.5
50.5,170.2
49.4,164.4
53.4,169.7
50.4,174.7
43,178.1
44.5,169.2
39.7,179.3
31.6,182.5
47.4,164.8
36.1,171.7
40.2,168.8
41.4,175.1
48.6,179.2
43.2,176.9
45.9,178.3
42.1,173.4
41.6,185.5
37.7,183.9
36.4,184.8
55,164.3
37.6,184
46,169.1
43.9,169.6
38.5,183
40.2,175.3
46.5,173.5
28.4,182.3
47.8,175
41.2,175.5
41.6,170.6
48.7,172
40.5,183.6
48.2,173.6
50.1,168.7
34.3,176.2
59.9,163.1
44.6,172.2
38.3,174.4
49.5,175.5
65.6,161.5
47.3,170.4
44.2,174.5
42.4,183.7
41.9,174.7
27.6,184.3
29.3,183.6
50.1,173.4
44.6,178.5
38.9,185.9
45.6,173.1
48.8,173.5
45.5,183.3
37.6,173.5
64.3,170.8
43.3,171.8
56.3,168.3
52.8,175.4
39.4,176.4
41.9,169.8
50.8,165.4
38.5,179.9
45.4,170.2
49.8,171.6
45.1,173.2
55,168.8
41.2,170.6
49.6,165.2
36.9,181.5
37.5,183.5
60.1,163.8
53.7,172.3
43.7,169.4
38.1,170.1
47.4,168.7
43.5,174.1
66.7,154.2
51.8,168.1
51.7,161.9
47.7,182.7
30.9,177.3
44.4,183.9
45.3,167.7
53,170.8
50,166.6
49,168
48.4,177.3
50.1,167.7
38.4,174.6
54.1,171
33.3,178.8
38.4,179.3
48.3,181
27.8,179.6
49.4,178.5
45.4,173.7
46.7,173.7
41.4,180
44.4,180.6
49.9,167.1
43.4,174.8
36.9,172.9
54.8,169.1
46,174.8
38.4,182.7
50.9,176.6
44.7,173.2
43,178.5
44,178
49.7,173.3
42.4,175.4
57.4,169.9
43.4,177.8
57.1,164
44.8,165.4
51.5,171.2
49.8,167.1
45.6,173.9
59.3,163.5
43.6,176.3
34.9,187.8
41,176.7
45,173.3
40.3,174.5
44.9,171.9
38.7,178.3
43.5,174.5
45.4,168.3
39.6,175.5
51.2,167
47,175.6
47.4,174.1
25.7,185.1
45.7,172.1
46.1,172.1
41.7,173.2
44.3,173.9
53.8,166.6
36.1,180.3
39.8,173
44.4,178.4
45.3,178.6
30.1,185.3
53.7,174.8
49.1,180.2
55.3,175.5
36.7,183
52.1,166.1
48.5,171.4
54.4,167.6
51.2,171.3
53.8,170
36.1,179.1
33.9,179.9
44.8,171.1
26.5,191.5
48.6,161.8
33.5,175.4
34.6,184.4
53.9,169.5
43,172.5
40.7,173.6
52.7,173.9
49.7,176.4
44.4,175.1
30.9,186.8
43.9,173.3
36.4,172.4
46.3,175.2
29.4,188.9
42.8,175.5
49.1,172.5
48.4,176.6
50.2,173.6
54.8,164.3
56,165.9
74.3,158
53.7,161.1
50.2,168.8
52.3,167.9
55.1,163.5
31,184.5
38.5,181.1
49.5,173.7
53.9,168.4
50.8,177.2
47,177
45.8,173.7
41.1,175.4
30.6,183.1
37,174
49.5,170.1
45.4,180.2
39.7,169.8
28.6,187.9
52.5,168.4
52.3,164.3
50.3,178.7
32.4,175.9
47.6,174
47.6,174.6
49.8,183.2
44.4,171.2
33.2,179.4
36.4,175.8
47.3,175.4
31.6,182.6
44.9,170.9
49.9,172.9
45.7,169.8
18.6,191.2
28.4,187
49.7,173
45,174.6
42.2,176.9
34.8,181.5
50.6,171.6
43,172.7
48.8,172.8
47.6,173.9
51.2,174.3
47.7,168.4
59.1,162.7
40.9,183.2
56.5,169.1
59.9,162.2
49.4,172.5
46.6,176.4
43.2,174.6
47.6,172.3
50.3,172.1
35.5,178.2
42.7,176.6
47,176.4
37.6,177.5
37.8,176.7
47.2,175
42.6,171.8
44.3,165
33.5,180.6
52.2,173.3
45.3,183.6
44.9,178
52.6,171.3
40.3,172
49.8,167.7
32.7,183.3
44.4,174.7
42.5,174.5
49.4,178.9
54.4,168.4
44.9,168.1
48,172.2
40,174.9
44.3,165.3
46.3,169.9
33.5,178.8
48,172.4
36.9,175
38.1,178.9
49.4,171.9
51.7,175.7
51.7,166.9
53.9,166.2
48,168.8
40.8,176.1
42.9,176.1
51.2,162.9
37.8,173.4
56.4,164.9
35.8,177.3
52.5,166.9
44.2,183.8
41.7,175
32.6,176.5
46.2,169
42,175.7
46.9,177.4
33.8,176.5
46.2,174.8
37.5,178.9
54.6,166.7
47.3,173
58.7,162
40.1,176.4
49.1,168.5
54.8,171.4
62,164.7
43.1,171.1
43.2,171.6
39.4,170.8
49.4,170
43.4,174.8
53.1,172.9
47.3,166.7
32.5,181
51.3,170.4
45.8,175.1
50.3,171.6
47,180
53.5,165.6
55.9,164.4
52.9,173.3
58.2,169.7
57,165.9
53.1,167.1
44.5,170
48.5,166.9
38.1,187.9
42.8,176
30.5,181.7
47.2,177.3
44.1,177.6
46.5,169.8
55.3,168.5
35.7,185.4
37.3,174.3
45.1,174.7
46.6,178.9
41.7,184.2
33.7,179.9
42.3,176
39.2,178.8
48.5,173.3
49.8,168.1
42.9,171.9
44.3,172.6
52.1,171.6
47.1,178.4
50.9,170.2
49.9,167.1
40,181.1
37.6,185.1
59.1,163.9
40.3,180.5
40.5,175.1
59,163.4
44.3,172.2
46.2,173.5
47.9,172.5
40.7,175.8
68.3,161.4
46.9,165.2
27.1,184.8
58.1,170.6
48.7,173.8
45,172.2
44.3,176.1
56.1,173.8
52.6,169.3
46.8,170.3
45.9,173.4
37.3,178.4
38.6,182.5
53.8,166.2
44.6,170.4
44.9,170.1
37.1,177.7
44.1,180.2
47.2,164
40.1,175.5
25.8,181.7
44.6,171.5
42.9,172.8
44.5,173.6
26.2,187.5
43.9,177.7
52.9,171.9
31.2,184.2
44.4,169.2
55.6,167.4
50.8,163.6
42.5,173
40.5,170.6
51.7,165.2
46.1,168.7
46.4,170.2
49.7,169.4
36.6,178.4
40.6,176.9
49.2,176.3
33.4,185.9
53.4,168.1
47.7,174.2
40.3,177.2
38.9,179.9
42.5,170.6
49.6,168.9
36.4,181
62.5,167.4
44.9,176.1
44.6,180.1
49.3,174.8
38.8,176.5
46.5,169.1
46.2,172.1
34.1,177.7
44.8,175.3
43,180.6
36.2,182
48.6,162.2
48.9,172.8
49.8,166
38.9,176.9
38.2,170.1
43.7,170.7
60,166.1
34,179.8
48.4,182.8
31,177.7
53.4,174.4
48.6,172.2
45.1,167.7
42.3,171.1
37.3,177.3
49.7,177.5
49,172.6
52.5,172
37.7,181.7
49.5,167.4
38,180.4
47.3,174.7
30.9,181.9
41.7,175.5
52.6,171.6
42,186.3
51.7,168.1
52.7,170.6
45.9,172.1
47.9,172.4
52.9,172.1
51.9,168.1
46.9,181.5
33.3,182.4
41,170.6
54.3,168.8
48,170.6
41.5,182.9
51.3,170.5
41.5,172.8
41.4,174.3
41.8,175.2
47.2,176.5
51.4,166.8
52.2,167.3
30.3,187.4
24.2,186.5
47.2,173
41,175.9
54.9,167.5
38,179
45.1,170.7
41.5,170
37.6,178.6
39.3,181.7
37.5,177.4
50,169.7
39.2,179.4
43.7,182.9
45.7,171.6
71.1,155.6
33.6,181.2
44.1,180.3
53.8,168.4
38.9,177.4
45.9,172.3
49.3,169.8
51.5,175.3
53.9,171.9
44.4,175.8
39.6,181.6
45,172.1
51.2,164.8
48.2,171
49.1,177.4
36.2,184.5
53.8,170
44.1,169.4
46.8,174.1
35.6,174.4
48.4,167.5
40.3,180.2
32.5,185.2
40,186
37.2,175.6
59.4,171
46.4,178.8
52,163.4
42.9,171.1
40.7,166.9
62,169.1
45.5,181.2
40.6,176.9
37.7,174.3
35.5,179.5
37.1,174.4
54.2,168.1
43.1,181.9
52.6,167.8
50.1,167.8
30.7,187.1
56,169
45.8,173.3
57.2,164.8
53.1,168.2
44.9,173.6
48.6,174
46.2,171.7
45.6,177.1
44.5,165.6
38.6,181.9
51.8,170
44.7,172.3
47.4,177
45.5,171.3
60,174
50.1,175
49.8,173.4
35.5,180.1
34.5,180.1
57.1,172.5
55.8,165.4
43,182.1
34.6,179.1
51.9,168.5
43.1,173.8
37.6,172.5
43.5,172.8
36.4,178.3
36.7,181.1
31.3,179.8
56.1,171.2
53.6,168
33.1,173.2
48.9,168.8
41.3,179.8
41.9,181.1
56.3,167
44.1,175.7
48.5,173.7
57.2,163.8
47.4,168.6
40.2,177.6
40,178.2
36.6,177.4
32.2,182.3
54.4,168.5
44.6,173.6
45.1,175.6
43.5,177.9
47.3,171.6
41.3,172.4
37.7,177.4
50.8,164.7
43.8,173.3
45.9,167.9
41.3,172.1
47.3,169.6
51,170.5
41.8,172.9
43.9,177.2
50.3,175.9
38.8,179.6
51.1,178
40.3,174
44.5,169.9
35.1,184.1
55.5,166.9
52.4,164
61.2,160.4
39.8,177.3
41.8,170.5
41.3,180.8
35.9,179.6
38.2,178
41.2,175.1
37.2,183.1
42.6,173.4
53.4,170.9
53.6,170.2
37.3,180.1
53.5,171.8
59.9,167
48.1,167.4
54.7,166.7
44.8,176.1
51.9,171
44.8,176
36.1,181.4
45.8,176.6
47.1,182.2
57.5,168.1
51.3,174.2
42.2,181.5
42.5,183.6
56.1,161.4
39.5,179.3
29,189.4
41.6,170.4
49.5,175.9
45.8,176.3
50.3,172.6
55.8,170.8
46.2,176.8
44,170.6
36.4,184
43.5,171
51.8,173.5
40.7,174.7
47.8,174.1
53.1,168.9
40.1,179.3
45.9,180.9
62.2,164.1
32.9,182
43.4,172.4
56.9,171.1
32.5,189.8
40.6,176.6
49.3,170.4
40.5,178.9
43.8,171.3
34.1,181
53,176.7
55.8,159.8
43.2,172.9
34.2,185.6
59,165.6
43,173.9
37.3,176.1
45.6,171.6
51,171.2
43.9,179
47.9,175.4
44.8,172.8
46.7,165.9
52.6,166.7
47.2,177
45.4,180.6
51.3,168.1
42.8,179.1
50.2,167.4
31.1,180.6
33.7,178.5
40.6,179.4
59.3,171.4
27.1,185.5
54.6,173.6
52.8,171.1
29.8,179.7
40.9,184.9
46.1,178.8
49.9,177.1
46.3,170.9
32.8,182.4
51.2,172.4
39.3,179.8
31.7,188.4
39.4,174.7
44.2,168.1
39.4,174.9
45.2,178.1
39.5,181.3
51.3,162
45.4,174.9
34.8,186.2
45.5,174.8
31.7,182
39.6,176.6
34.2,178
41.7,173.7
52.5,176.8
48.9,172.6
33.6,179.4
52.9,166.4
32.7,178.8
44.5,170.6
32,181.6
39.6,185.3
38.6,180.2
36.6,182.1
47.7,173.5
40.9,180.9
41.7,179.8
33.6,176.4
50.4,177.4
47.8,175.6
55,168.7
30.5,178.9
55.7,166.1
42.4,179.6
50.2,169.8
54.7,168.1
58,173
41.1,173.7
52.9,172.7
33.5,183.4
56.4,168.4
35.8,181.2
36.2,170.2
50.4,167
40.7,179.5
40.4,178
42.9,172.2
51,172.6
31.7,179.7
44.7,169.3
57.1,168.1
57.8,167.5
41.6,173
30.7,178.8
48.7,173.4
35.7,179.1
41.7,177.2
75.4,154.5
42.9,177.1
49.7,167.7
51.2,177.7
53.4,167.5
54,162.3
46.4,166.8
56.6,166.9
37.2,174.7
50.1,163.2
47.1,172.4
50.2,173.7
45.4,165.8
47,175
44.1,179.4
33.5,178.8
44.5,170.2
46.9,176.5
48.1,172.2
44.9,173.3
43.5,177.3
47,170.9
29.3,177.1
42.9,179.2
48.5,172.7
51,173.8
51.2,174.6
52.6,172.6
47.3,171.1
45.8,174
43.6,173.1
49.8,170.3
54.1,170.8
57.7,171.5
49.2,166.9
46.6,171.1
41.9,174.5
48.8,178.7
43.8,176.1
24.8,183.5
42.8,172.2
48.2,168
38.3,180.7
54,172.2
29.4,181.9
46.7,167.3
54,168.8
41.8,177.8
53.5,176.3
50.5,173.8
51.1,171.6
52.9,163.6
45.9,173.6
48.3,168.6
40.5,182.4
42,173.1
40,169.2
47.1,169.5
41.3,171.4
54.3,173.1
35.2,175.7
52.3,173.4
42.6,179.5
43.6,174.2
44.3,181.2
48.3,171.3
44.5,178.4
49.3,168.8
50.2,174.3
42.3,178.6
58.8,162.9
44,177.7
45.6,183.1
41.1,179.9
43,178.3
38.8,175.9
48.2,172.1
34.2,183.5
40.8,174.7
43.9,175.5
41,178
40.7,177.6
57.3,161.7
33.8,184.2
59.5,166
43.5,175.5
59.5,171.2
58.1,162.7
59.6,172
45.1,179
42.9,180.1
32.1,184
43.3,168
49.2,178.5
46.7,175.4
32.4,179.1
47.2,168.3
47.5,168
53.7,168.8
58.6,166.8
40.6,179.9
51.1,167.7
60.5,164
64.1,165.3
49,176.1
43.5,171.8
52,168.8
45.4,175.4
45.8,176.4
39.6,168.8
38.1,176.1
41,171.7
40.8,174.8
37.2,182.6
40.3,173.6
33.7,178.7
50.5,172.7
41.1,173.5
39.6,172.6
51.1,169.6
61.4,165.7
38,181.4
45.6,175.3
51.5,176.9
32.5,183.8
40.9,187.2
50.6,167.9
51.7,173.6
44.9,169.2
25.3,188.9
49.9,175
34.3,172.6
38.1,179.8
35,183.5
42.2,178.1
59.4,165.5
46.8,173.4
34.2,179.6
44.8,174.7
41.5,168.9
47.3,169.2
59,163.8
58.8,164
48.9,169.7
37.2,183.6
42.1,171.9
32.3,171.6
46.2,184.2
53.3,169.3
52.4,170
35.2,179.3
34.6,179.3
40.3,180.5
60,164.3
42.6,179
51.5,170.3
46.1,173.4
29.9,184
38.4,174.8
58,164.5
48,177.3
43.1,168.8
37.9,175.9
52.7,169
36.3,177.9
45.9,171.3
36.3,181.7
53.2,175
56.3,166.2
46.8,176.9
38.4,178.8
40.6,175.2
49.1,175.3
40.8,178.3
47.3,172.2
49.2,169.9
44.6,173.7
48.6,166.4
30.7,184.3
54.2,169.6
39.2,178.1
53.9,172.9
44,169.7
61.7,170.1
58.8,173.6
46.8,166.6
48.4,174.9
57.8,168.1
58.8,164.2
45.1,170.7
47.6,170.1
36.9,181.1
53.4,166.8
42.5,174.2
40.9,181.3
51.4,170.5
45.5,175.7
25.4,183.2
38.5,182
61.6,160.8
46.9,170.7
44.2,172.7
28.2,181.3
36.9,181.3
54.5,174
52.5,167.9
38.4,172
28.2,176.2
41.9,177.2
52.2,171.3
51.5,174.9
30.3,183.6
34.1,180.8
39.3,173.8
66.1,158.4
53.7,172.7
52.8,164.3
48.8,173.3
34.8,187.3
58,161.6
42.6,171.2
41.8,175.2
47.3,176.8
53.3,168
42.4,181.5
43.5,171.1
52.6,173.3
40.1,176.9
62.1,161.8
37.9,182.1
41.2,180.4
37,184.8
46.9,171.2
42.8,177
51,178.2
47.5,178.9
50.9,172
45.6,172.8
54.9,167.9
37.3,179
51.8,171.2
49.1,167.8
34.6,186
48.3,167.9
41.8,175.2
42.2,168.7
30.1,178.9
58,159.5
45.9,174.4
47.3,171
43.8,172.9
44.2,167.2
43.2,174
53.6,168.9
43.1,168.4
41.5,183.5
46.1,170.9
38.8,179.3
44.2,169.2
42.3,177
55.3,170.7
49.6,176.2
47,169.1
50.3,174.4
45.1,173.9
19.7,186
41.7,176.9
50.4,175.6
46.4,178.7
45.2,180.2
46.6,172.7
49.8,172.2
36.9,177.3
43,179.8
50.7,172.8
40.6,182.5
56.9,166.3
37,180.5
36.3,178.3
50.5,171.9
50.5,174.8
47.2,177
37.5,178.2
39.8,177.1
39.3,176.3
39.5,178.3
51,171.2
54.5,170
43.8,175.4
53.4,171
32.5,194.6
52.6,166.3
43,178.2
50.2,170.6
41.5,172.6
48.7,173.2
37.8,182.5
41.1,175.8
33.9,177.4
37.3,184.5
37.4,177
32.9,182.2
45.6,173.4
55,164.5
48.9,171.2
53,163.1
31.9,184.4
46.2,177.8
45.4,170.7
39.3,176.1
56.8,170.6
36.3,188.9
46.9,171.1
46.4,178.5
37.4,181.7
57.3,169.3
49,172.7
51.6,168.1
44.4,179.3
47.7,169.4
39.8,177.3
20.3,190.1
46.5,166.2
44.6,181.8
45.8,176.5
42.9,170.6
47.8,170.5
53,171.1
39.8,172.4
45.3,171.9
49.9,171.8
45.9,168
35.1,184.7
34.6,182.7
49.4,176.1
44,174.2
50.3,170.3
45.5,170.7
40.7,178.9
32.1,177.8
53.4,172.2
45.5,174.4
53.4,168
37.8,179
48.4,170.5
54.4,167.9
44.1,172.8
41.2,177
31.1,175.2
51.4,170.7
43.4,178.7
60.5,174.9
46.4,168.9
51.7,171.8
54.3,172.6
45.9,177.5
37.9,175.7
40.6,179.3
48.5,168.9
44.1,177
47.2,179.2
49.1,179.8
45.4,169.5
58.6,167.6
45.6,178.1
56,173.2
54.9,164.6
38.7,182.7
50.5,172.9
51.2,166.7
36.4,176.4
49.6,173.9
41.2,178.1
46.7,168.8
37.5,175.1
53.2,169.1
44.2,168.8
38.1,170.9
39.9,171
32.9,179.7
36,180.5
57.9,167.4
47.3,166.4
43.8,179.9
46.1,174
42.4,175.8
58.7,168
46.7,169.8
29.4,182.1
49.6,164.9
45.8,169.3
39.2,178.1
44.5,175
46.5,178.6
32.4,177.9
53.6,171.5
40.8,181.7
37.8,180.4
41.2,175.2
48.8,170.3
49.6,171.8
44.3,179.8
49.6,173.3
52.4,174.2
40,173.4
32.6,183.4
42.5,175
42.1,173.5
43.8,175
49.7,167
46,173.3
38.2,180.2
55.3,168
45,175.2
37.6,180
45.9,178.1
28.5,188
53.9,171.8
52,170
40.8,181.3
44.6,176.2
34.7,179.2
54.1,173.7
42.6,177.4
40.6,176.1
47.9,176.3
54.6,165.9
47.2,171.8
26.1,182.8
44.3,175.4
59.8,164.3
41.1,174.8
45.6,174.4
48.7,173.1
59.9,168.7
40,178.3
69.5,161.6
40.5,178
60.2,154.2
43.6,171.1
45.5,169
49.3,168.8
54.4,177.4
48.7,172.8
34.8,183.9
50.6,167.3
61.5,160.1
40.4,174.7
49.3,167.9
49.2,171.9
49.9,173.7
53.4,168.2
46.7,179.4
56.4,166.8
30.8,185.2
42.4,176.8
40.3,171.2
33.5,181.9
47.2,171.5
35.2,181.7
56.4,171.1
50.7,172.7
27.1,182.6
45.4,172.9
54.1,170.6
58.4,163.2
38.2,181.1
51.4,168.7
24.5,180.7
47.1,173.1
54.3,165.4
57.1,163.9
33.9,182.3
40.8,172.5
45.8,174.3
29.6,186.8
25.2,186.4
41.3,182.1
53,177
42.7,176.5
44.2,173.1
40.4,179.8
41.6,174.9
59.8,171.6
41,173.6
37.5,183.2
44.1,172.3
52.9,167.8
43.7,175.1
53.5,169.2
38.4,181
56.5,169.2
41,178.3
57.4,167
53.2,167.2
34.8,186.3
53,166.7
44.2,174.2
46.8,170.2
46.4,173.3
33.2,179.2
39.2,174
39.9,172.1
42.2,182.1
39,172.5
52.4,164.7
