ID,Attainment
156,NoOpinion
157,Satisfied
158,Satisfied
159,Satisfied
160,SomewhatSatisfied
161,Satisfied
162,SomewhatSatisfied
163,NoOpinion
164,Satisfied
165,SomewhatDissatisfied
166,Satisfied
167,Satisfied
168,Satisfied
169,SomewhatDissatisfied
170,Satisfied
171,SomewhatSatisfied
172,Satisfied
173,NoOpinion
174,Satisfied
175,SomewhatSatisfied
176,Satisfied
177,Satisfied
178,Satisfied
179,SomewhatSatisfied
180,SomewhatSatisfied
181,Satisfied
182,Satisfied
183,SomewhatDissatisfied
184,Satisfied
185,SomewhatSatisfied
186,Satisfied
187,Satisfied
188,Satisfied
189,Satisfied
190,Satisfied
191,Satisfied
192,SomewhatDissatisfied
193,SomewhatSatisfied
194,SomewhatSatisfied
195,Satisfied
196,Satisfied
197,SomewhatSatisfied
198,Satisfied
199,Satisfied
200,SomewhatDissatisfied
201,SomewhatSatisfied
202,SomewhatSatisfied
203,Satisfied
204,Satisfied
205,NoOpinion
206,SomewhatSatisfied
207,SomewhatSatisfied
208,NoOpinion
209,Satisfied
210,NoOpinion
211,Satisfied
212,Satisfied
213,Satisfied
214,NoOpinion
215,SomewhatSatisfied
216,Satisfied
217,SomewhatDissatisfied
218,Satisfied
219,Satisfied
220,Satisfied
221,Satisfied
222,Satisfied
223,Satisfied
224,Satisfied
225,Satisfied
226,Satisfied
227,Satisfied
228,SomewhatSatisfied
229,Satisfied
230,SomewhatDissatisfied
231,Satisfied
232,Satisfied
233,Satisfied
234,Satisfied
235,SomewhatSatisfied
236,SomewhatSatisfied
237,Satisfied
238,Satisfied
239,SomewhatSatisfied
240,Satisfied
241,SomewhatSatisfied
242,SomewhatSatisfied
243,Satisfied
244,SomewhatSatisfied
245,Satisfied
246,SomewhatSatisfied
247,Satisfied
248,Satisfied
249,Satisfied
250,Satisfied
251,Satisfied
252,Satisfied
253,SomewhatDissatisfied
254,SomewhatSatisfied
255,Satisfied
256,Satisfied
257,Satisfied
258,SomewhatSatisfied
259,NoOpinion
260,Satisfied
261,Satisfied
262,Satisfied
263,Satisfied
264,SomewhatSatisfied
265,Satisfied
266,Satisfied
267,SomewhatDissatisfied
268,SomewhatSatisfied
269,Satisfied
270,SomewhatSatisfied
271,SomewhatSatisfied
272,Satisfied
273,Satisfied
274,SomewhatDissatisfied
275,SomewhatSatisfied
276,SomewhatSatisfied
277,Satisfied
278,Satisfied
279,Satisfied
280,Satisfied
281,Satisfied
282,SomewhatSatisfied
283,Satisfied
284,Satisfied
285,Satisfied
286,Satisfied
287,Satisfied
288,SomewhatSatisfied
289,Satisfied
290,Satisfied
291,SomewhatSatisfied
292,Satisfied
293,Satisfied
294,SomewhatSatisfied
295,Satisfied
296,SomewhatSatisfied
297,SomewhatDissatisfied
298,SomewhatSatisfied
299,Satisfied
300,SomewhatSatisfied
301,Satisfied
302,Satisfied
303,Satisfied
304,NoOpinion
305,SomewhatSatisfied
306,SomewhatSatisfied
307,NoOpinion
308,Satisfied
309,Satisfied
310,Satisfied
311,SomewhatSatisfied
312,NoOpinion
313,SomewhatSatisfied
314,SomewhatSatisfied
315,Satisfied
316,Satisfied
317,Satisfied
318,Satisfied
319,Satisfied
320,SomewhatSatisfied
321,Satisfied
322,Satisfied
323,SomewhatSatisfied
324,Satisfied
325,Satisfied
326,Satisfied
327,SomewhatSatisfied
328,SomewhatSatisfied
329,Satisfied
330,Satisfied
331,Satisfied
332,Satisfied
333,SomewhatSatisfied
334,Dissatisfied
335,Satisfied
336,Satisfied
337,SomewhatSatisfied
338,SomewhatSatisfied
339,Dissatisfied
340,Satisfied
341,Satisfied
342,SomewhatSatisfied
343,NoOpinion
344,SomewhatSatisfied
345,SomewhatSatisfied
346,SomewhatSatisfied
347,SomewhatSatisfied
348,Satisfied
349,Dissatisfied
350,SomewhatSatisfied
351,NoOpinion
352,SomewhatSatisfied
353,Satisfied
354,Satisfied
355,Satisfied
356,Satisfied
357,SomewhatSatisfied
358,SomewhatSatisfied
359,Satisfied
360,SomewhatSatisfied
361,SomewhatSatisfied
362,Satisfied
363,Satisfied
364,Satisfied
365,Satisfied
366,SomewhatSatisfied
367,NoOpinion
368,Satisfied
369,Satisfied
370,Satisfied
371,Satisfied
372,Satisfied
