N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare,r
128,33,60,6.79,64.75,Clay,1.54,29.33,49.54,1545.48,6.75,15.53,North,777,Rabi,Sugarcane,Canal,284.5,10.0,76.49,0.3930977246667604
111,34,115,6.2,62.4,Loamy,1.2,29.84,38.69,2521.74,4.93,6.48,East,1222,Zaid,Sugarcane,Rainfed,107.47,20.51,75.72,0.5769038846263591
177,31,139,6.1,44.86,Clay,1.06,21.39,87.07,1838.68,7.2,12.54,Central,670,Zaid,Sugarcane,Canal,172.85,5.91,75.79,0.17711067940704894
157,68,89,5.14,50.01,Silt,1.29,27.65,46.75,2549.99,8.35,15.97,Central,1629,Zaid,Sugarcane,Rainfed,97.63,20.65,75.5,0.9404585843529143
62,36,22,6.8,21.1,Clay,0.86,27.62,72.69,2450.87,7.72,4.82,North,845,Zaid,Sugarcane,Canal,91.62,8.33,73.93,0.9283185625877254
146,54,70,6.43,39.96,Loamy,0.65,30.17,62.12,2628.67,5.19,17.15,West,122,Rabi,Sugarcane,Drip,342.56,17.77,78.61,0.35949115121975517
53,47,120,6.77,42.41,Silt,0.76,29.73,84.72,1641.17,4.43,5.67,East,1664,Kharif,Sugarcane,Sprinkler,285.22,2.58,75.46,0.9132405525564713
75,51,62,5.01,44.69,Sandy,0.95,12.23,58.69,357.85,10.35,4.97,Central,992,Zaid,Sugarcane,Drip,181.36,1.95,72.73,0.5015162946871996
124,50,92,4.92,31.62,Silt,1.16,32.62,66.28,2502.7,10.06,10.11,East,414,Rabi,Sugarcane,Canal,270.03,13.22,76.83,0.7982951789667752
145,35,114,7.16,62.28,Silt,0.99,22.83,84.14,1510.56,7.59,1.45,West,244,Kharif,Sugarcane,Sprinkler,67.61,3.65,74.69,0.7019668772577033
83,58,105,7.68,44.23,Silt,1.15,20.08,59.81,2651.88,4.4,10.89,South,763,Rabi,Sugarcane,Drip,201.47,20.3,76.02,0.093981939840869
133,63,123,7.91,57.2,Silt,1.42,16.32,62.03,1610.4,5.52,8.79,South,2065,Kharif,Sugarcane,Rainfed,154.12,10.88,74.78,0.46559801813246016
166,78,141,8.08,43.18,Clay,1.24,15.96,38.12,2457.86,9.91,2.22,West,2186,Rabi,Sugarcane,Drip,279.15,23.22,78.31,0.5222432600548044
99,92,144,5.27,48.76,Sandy,1.11,24.76,40.69,2133.49,5.11,16.43,Central,1585,Rabi,Sugarcane,Rainfed,186.94,20.01,76.6,0.5543540525114007
37,81,77,4.99,32.86,Loamy,1.15,21.69,33.08,473.54,6.87,16.99,North,1475,Kharif,Sugarcane,Drip,130.05,2.44,72.15,0.3559726786512616
123,45,113,5.68,15.21,Sandy,0.48,37.26,59.9,2355.13,5.8,7.79,East,926,Rabi,Sugarcane,Drip,195.25,6.8,74.74,0.09783416065100148
128,36,45,7.97,49.36,Sandy,0.94,26.94,46.53,1036.86,8.19,17.52,East,502,Rabi,Sugarcane,Sprinkler,240.85,22.76,72.12,0.4734717707805657
81,15,69,6.14,37.28,Silt,1.43,13.24,82.74,601.79,8.8,8.37,Central,1692,Kharif,Sugarcane,Rainfed,340.96,15.66,75.2,0.43385164923797304
174,61,92,6.21,25.94,Clay,0.49,37.67,87.07,1952.77,7.91,10.91,North,1514,Kharif,Sugarcane,Sprinkler,70.07,21.54,74.58,0.5031362585800877
169,28,84,5.93,30.08,Clay,0.34,33.35,88.67,1725.04,4.98,10.92,West,1795,Zaid,Sugarcane,Drip,291.28,15.14,76.49,0.45825289049151663
158,58,83,5.21,18.93,Loamy,0.95,13.61,58.95,1543.09,6.16,3.82,West,865,Rabi,Sugarcane,Canal,328.61,7.14,75.32,0.5456167893159349
147,61,135,5.87,62.45,Clay,0.46,19.22,61.06,2511.61,5.7,16.9,West,436,Zaid,Sugarcane,Rainfed,304.7,17.75,76.61,0.10077800137742665
51,30,113,7.67,49.49,Loamy,1.03,13.82,64.08,754.8,9.02,8.33,South,229,Rabi,Sugarcane,Drip,155.96,8.59,72.59,0.023271935735825866
62,64,73,5.64,20.62,Sandy,0.63,39.4,41.15,1517.34,6.84,8.97,West,1791,Kharif,Sugarcane,Sprinkler,65.35,9.81,72.87,0.9905051420006733
52,34,71,7.92,62.59,Sandy,1.5,36.12,32.28,2188.56,5.55,5.55,North,1799,Rabi,Sugarcane,Sprinkler,241.22,18.5,73.88,0.37201808579278317
167,48,56,4.87,64.41,Clay,1.37,17.32,82.7,2019.5,6.1,16.21,West,1319,Kharif,Sugarcane,Sprinkler,137.47,21.55,75.02,0.42899402737501835
125,59,30,5.0,52.63,Clay,0.57,27.01,37.43,1475.49,7.39,8.44,West,1025,Zaid,Sugarcane,Canal,223.48,7.22,74.18,0.7545428740846823
98,94,85,5.01,60.46,Clay,1.01,23.47,36.89,407.62,6.74,7.24,East,364,Rabi,Sugarcane,Drip,251.52,1.84,74.68,0.9025529066795667
53,92,85,6.55,15.13,Clay,0.81,35.66,30.75,1590.21,6.27,16.39,East,607,Zaid,Sugarcane,Drip,275.95,3.12,75.22,0.32004960103061175
109,92,87,5.54,41.1,Sandy,1.15,29.45,85.91,837.82,4.64,2.16,North,1695,Zaid,Sugarcane,Sprinkler,348.4,11.94,76.15,0.8955232284962005
103,38,143,6.14,64.55,Clay,1.35,38.65,88.28,902.0,5.29,1.29,West,2054,Rabi,Sugarcane,Sprinkler,340.29,2.65,77.08,0.29321077169806453
41,94,105,5.7,63.94,Sandy,1.21,13.8,31.17,2701.53,4.84,12.17,South,412,Kharif,Sugarcane,Drip,72.04,1.57,76.05,0.7896181427945539
124,89,41,6.38,22.39,Loamy,0.62,39.11,53.53,2390.66,6.69,5.36,East,1860,Rabi,Sugarcane,Sprinkler,253.02,12.06,75.63,0.09120610304869037
119,70,44,7.94,53.25,Clay,0.33,20.38,82.95,799.98,8.73,11.61,East,493,Rabi,Sugarcane,Canal,153.59,9.14,72.17,0.14299168205283586
130,27,46,7.69,17.77,Silt,1.02,39.15,41.82,2795.96,5.14,15.18,East,304,Zaid,Sugarcane,Canal,226.36,17.31,74.03,0.08483771408519192
125,80,146,5.91,23.41,Clay,1.53,39.71,75.82,611.48,10.1,17.13,West,117,Zaid,Sugarcane,Sprinkler,168.07,12.02,72.35,0.3706421470668909
41,19,108,5.04,63.6,Silt,1.4,21.97,56.57,2101.72,6.94,11.87,South,1691,Zaid,Sugarcane,Sprinkler,120.78,11.96,73.12,0.9472485773838587
129,60,79,6.24,20.98,Silt,1.07,37.52,46.47,1993.48,6.03,12.21,East,1631,Zaid,Sugarcane,Rainfed,249.25,22.7,75.38,0.11752624677710488
173,89,94,7.27,32.26,Clay,0.47,21.82,76.14,539.81,5.86,6.31,Central,653,Rabi,Sugarcane,Sprinkler,256.93,4.45,74.73,0.012154474689816341
86,49,135,5.91,17.78,Clay,1.05,22.72,53.04,1707.4,5.07,1.55,South,84,Zaid,Sugarcane,Canal,241.21,23.71,75.84,0.5230978441701488
162,73,79,7.68,31.68,Clay,1.49,19.32,51.38,895.58,9.15,7.46,East,2123,Zaid,Sugarcane,Rainfed,119.6,1.77,71.84,0.901158010490989
105,61,24,5.38,48.89,Clay,1.15,17.74,51.19,2592.38,7.04,15.03,Central,1717,Kharif,Sugarcane,Canal,96.94,8.6,73.55,0.9504114840765587
170,93,34,5.97,17.1,Silt,1.35,26.29,48.02,896.55,9.14,13.14,Central,1157,Kharif,Sugarcane,Rainfed,318.86,6.86,74.03,0.1881211597237613
138,78,101,6.62,42.38,Sandy,0.76,27.76,63.51,1703.22,5.1,12.02,East,121,Zaid,Sugarcane,Sprinkler,233.44,9.56,74.4,0.5360963663441204
174,70,74,6.56,21.52,Sandy,1.3,19.77,54.51,2571.38,8.8,10.42,Central,812,Kharif,Sugarcane,Canal,311.12,5.27,77.86,0.6847311725538793
120,69,45,5.88,55.12,Silt,1.43,39.22,88.5,359.26,7.93,6.6,North,1127,Rabi,Sugarcane,Canal,290.17,18.46,75.7,0.9327284833540133
68,16,133,4.95,22.51,Silt,0.58,30.34,52.29,1771.89,4.7,4.88,West,2066,Zaid,Sugarcane,Rainfed,211.02,18.91,74.22,0.026366974497252005
155,98,31,5.23,58.91,Loamy,0.54,14.09,65.83,1239.96,4.43,4.21,South,1478,Kharif,Sugarcane,Canal,229.95,20.28,76.06,0.9872761293149445
134,43,91,6.94,30.22,Silt,1.03,38.55,66.04,1717.5,9.46,2.37,South,1155,Kharif,Sugarcane,Canal,291.43,17.93,76.27,0.8421189231357087
121,55,44,6.06,62.35,Silt,1.4,37.51,61.95,1870.1,7.47,9.49,Central,1190,Zaid,Sugarcane,Canal,302.69,0.9,77.36,0.4148195023376652
178,75,37,7.49,49.57,Silt,0.31,32.04,47.92,1097.96,5.27,9.96,East,1687,Rabi,Sugarcane,Canal,190.79,3.24,73.55,0.944765729882428
49,58,136,7.0,55.69,Clay,1.54,38.54,71.43,2478.72,9.96,2.2,West,891,Zaid,Sugarcane,Rainfed,347.77,7.32,78.52,0.12915941515149498
32,74,147,7.06,42.97,Sandy,0.54,30.45,38.1,1041.87,6.36,8.64,North,1373,Kharif,Sugarcane,Canal,193.69,1.32,75.06,0.7723183917356393
173,26,57,7.38,56.82,Sandy,0.72,32.57,30.21,2677.99,5.72,13.45,South,1293,Kharif,Sugarcane,Canal,170.55,1.08,73.99,0.5201635011119934
131,52,107,6.8,53.32,Loamy,0.88,33.66,88.83,1636.96,6.27,6.75,West,850,Zaid,Sugarcane,Drip,239.59,8.42,74.42,0.876653602658345
130,74,33,6.13,46.42,Silt,0.94,24.64,52.52,1029.59,5.43,4.35,East,2059,Kharif,Sugarcane,Drip,313.99,12.22,76.14,0.014544665667881929
75,54,77,4.87,48.5,Loamy,0.51,13.58,87.71,1109.87,9.52,8.89,North,644,Zaid,Sugarcane,Rainfed,130.62,3.95,74.64,0.43747492202372906
76,27,63,7.22,52.79,Loamy,1.07,22.0,84.23,2031.78,7.54,5.48,South,525,Zaid,Sugarcane,Drip,204.71,20.64,76.04,0.39654278232127016
85,98,37,6.56,47.66,Silt,0.58,39.27,36.23,2074.08,5.59,10.96,Central,1692,Rabi,Sugarcane,Rainfed,136.37,13.68,74.37,0.8623637087467452
92,29,108,7.35,52.43,Clay,1.12,15.99,45.6,1424.03,8.07,10.2,South,1000,Kharif,Sugarcane,Canal,124.44,17.69,74.07,0.07586332810866392
56,39,69,5.68,54.72,Clay,1.14,21.14,70.25,314.83,8.97,13.52,North,874,Zaid,Sugarcane,Rainfed,158.4,0.97,73.76,0.15190269351229435
134,23,113,7.62,58.8,Sandy,1.22,30.64,36.21,1219.64,10.01,2.36,Central,309,Rabi,Sugarcane,Sprinkler,79.35,13.84,74.41,0.6408747448032146
35,29,117,8.15,46.99,Silt,1.24,16.23,83.13,1895.19,10.7,8.61,South,952,Kharif,Sugarcane,Canal,165.09,12.85,73.43,0.6675577385210272
52,47,65,5.18,30.34,Loamy,0.5,10.2,75.52,1828.92,9.75,13.75,South,551,Kharif,Sugarcane,Canal,176.91,0.18,73.87,0.2785903390319586
82,91,107,5.61,22.53,Sandy,0.31,22.04,50.74,1472.78,6.16,1.83,North,1177,Zaid,Sugarcane,Drip,240.64,10.39,76.16,0.17701048427674682
80,88,60,6.88,44.75,Clay,1.33,36.2,68.85,1808.95,10.69,1.73,Central,2195,Rabi,Sugarcane,Drip,93.61,9.51,73.47,0.6903948286293653
141,90,42,7.26,43.76,Clay,1.09,23.66,42.83,438.23,10.5,16.76,North,1304,Zaid,Sugarcane,Canal,92.53,2.49,72.59,0.7474709381337565
127,93,111,6.97,24.59,Clay,0.44,17.52,66.28,2403.72,9.35,3.33,West,486,Zaid,Sugarcane,Drip,185.81,12.5,76.18,0.5326172664550232
120,48,55,5.36,20.45,Silt,1.08,10.87,35.03,447.98,10.82,13.41,North,877,Kharif,Sugarcane,Sprinkler,265.96,20.56,72.33,0.02007119777772637
80,73,99,5.81,47.92,Loamy,1.48,16.21,43.16,343.9,9.53,13.31,North,335,Kharif,Sugarcane,Canal,326.46,18.71,74.79,0.890527280739895
162,47,50,7.3,50.23,Silt,1.02,12.34,89.12,2144.42,6.35,10.47,East,1616,Rabi,Sugarcane,Drip,324.7,7.17,76.91,0.6791023191444896
140,65,29,6.63,39.68,Sandy,0.66,12.32,31.64,2559.55,9.08,4.93,South,2139,Kharif,Sugarcane,Drip,319.58,17.6,77.64,0.6057748193568872
54,21,108,5.16,17.57,Sandy,0.82,14.42,86.82,962.19,6.82,11.17,West,356,Kharif,Sugarcane,Rainfed,281.84,3.59,73.98,0.8967654246264252
90,64,35,7.82,36.02,Loamy,1.58,20.58,84.04,467.57,4.89,10.58,West,840,Zaid,Sugarcane,Drip,348.33,18.39,76.0,0.25790282704493983
99,36,98,6.71,15.27,Loamy,1.53,13.32,78.78,1141.01,10.08,2.1,East,287,Rabi,Sugarcane,Canal,169.29,1.44,74.45,0.9293759891275858
74,36,82,5.6,50.68,Clay,1.5,23.23,78.0,1186.31,10.68,14.97,East,199,Kharif,Sugarcane,Rainfed,211.24,6.14,75.47,0.507610378684455
85,23,78,5.3,62.81,Silt,1.26,14.36,67.24,995.88,7.71,3.86,South,2094,Rabi,Sugarcane,Rainfed,189.9,6.35,73.86,0.5812382214226123
123,81,149,7.69,58.21,Clay,1.26,17.01,38.83,570.67,9.72,17.78,West,64,Rabi,Sugarcane,Drip,238.62,12.1,74.34,0.1543627152742023
90,40,36,7.34,51.33,Loamy,0.7,37.81,46.48,2760.84,8.55,14.51,South,828,Zaid,Sugarcane,Sprinkler,345.18,3.37,78.3,0.3366042781939206
43,29,132,6.03,34.56,Sandy,1.41,12.89,88.27,1784.08,9.51,11.89,Central,1546,Kharif,Sugarcane,Rainfed,192.66,24.17,76.2,0.12429722348554473
140,30,126,5.89,40.7,Loamy,0.77,12.82,49.25,885.41,9.91,4.81,Central,1091,Zaid,Sugarcane,Drip,140.26,17.64,75.78,0.741120649290059
136,84,100,7.23,30.35,Sandy,1.42,20.75,79.56,1959.49,9.08,14.58,South,82,Zaid,Sugarcane,Drip,206.42,20.37,74.07,0.5744731131799119
47,80,125,6.53,19.59,Sandy,1.53,19.69,42.34,2478.55,8.04,9.57,West,1579,Kharif,Sugarcane,Drip,339.16,12.83,76.85,0.8418287767582721
57,48,85,6.34,53.67,Clay,1.38,14.74,39.89,2593.58,9.93,13.33,North,1623,Rabi,Sugarcane,Drip,137.06,1.81,76.73,0.16426579793099294
140,61,53,8.0,55.95,Silt,1.01,19.02,69.15,846.64,6.5,5.73,South,1520,Rabi,Sugarcane,Rainfed,141.2,3.18,73.42,0.3838912213732114
112,74,115,7.39,20.96,Clay,1.46,16.05,52.03,2166.9,6.27,8.26,Central,534,Kharif,Sugarcane,Sprinkler,332.07,4.88,74.72,0.9398321236134751
130,38,55,5.35,56.51,Loamy,1.49,12.56,65.16,474.39,10.08,8.27,South,1329,Zaid,Sugarcane,Rainfed,192.37,23.16,74.78,0.3349056146570861
50,37,128,7.79,51.93,Loamy,0.94,31.63,83.55,2019.75,6.46,4.22,North,53,Rabi,Sugarcane,Sprinkler,167.2,24.87,74.21,0.24848913981446574
33,48,71,7.27,49.73,Loamy,0.61,27.91,64.05,2304.62,6.58,3.79,North,281,Rabi,Sugarcane,Sprinkler,279.88,22.68,75.0,0.5698896848713165
84,84,21,5.93,47.6,Loamy,0.58,31.32,74.2,851.78,7.11,7.08,North,1433,Zaid,Sugarcane,Drip,153.01,22.77,73.15,0.8464522917345182
166,94,106,7.08,25.11,Silt,1.05,11.43,76.5,1054.21,7.59,7.17,South,2065,Rabi,Sugarcane,Sprinkler,255.84,5.49,75.37,0.12748866233198242
69,31,108,8.08,33.75,Silt,1.45,12.98,66.96,1183.44,5.45,6.51,North,223,Zaid,Sugarcane,Drip,242.76,6.57,73.72,0.14991742734877378
33,64,93,7.65,53.35,Silt,1.06,21.95,40.95,2080.47,9.51,2.9,South,1209,Kharif,Sugarcane,Rainfed,318.01,16.52,77.68,0.6939484444671
55,33,58,6.81,42.12,Clay,0.85,27.56,80.66,1254.21,4.32,4.07,East,1136,Zaid,Sugarcane,Canal,196.58,6.52,73.35,0.9472833396118153
162,22,67,5.64,33.4,Clay,1.53,32.45,81.83,524.05,9.26,17.84,North,537,Rabi,Sugarcane,Sprinkler,324.9,4.27,73.0,0.5862298320167972
142,46,126,5.81,56.38,Clay,0.44,19.47,64.81,1928.2,10.79,2.72,Central,1948,Rabi,Sugarcane,Drip,220.75,1.93,76.68,0.5651331835892089
169,79,47,4.91,57.89,Silt,0.94,20.47,30.77,600.29,9.45,12.62,East,1768,Rabi,Sugarcane,Sprinkler,320.85,18.11,76.81,0.6966508238768923
106,19,126,6.76,34.24,Clay,0.56,12.09,80.87,848.46,10.84,2.53,South,2086,Kharif,Sugarcane,Canal,287.99,24.03,75.61,0.11323804584075525
167,24,137,7.22,42.93,Silt,1.5,27.05,57.8,1316.1,8.11,3.16,West,1821,Rabi,Sugarcane,Rainfed,94.98,3.42,75.28,0.8698963620621283
159,60,100,7.02,35.94,Clay,1.47,12.83,33.04,2095.75,8.16,1.19,South,1633,Zaid,Sugarcane,Drip,128.76,21.64,75.17,0.5188380571260721
92,62,67,5.43,63.37,Sandy,0.41,33.98,63.0,1023.91,10.83,4.36,West,1288,Zaid,Sugarcane,Sprinkler,88.85,21.27,74.96,0.8028534485980114
102,41,77,6.97,41.61,Clay,0.56,29.49,52.44,2454.26,8.36,13.7,South,1832,Zaid,Sugarcane,Sprinkler,349.64,6.74,77.31,0.3334991716911442
46,32,49,7.79,31.85,Clay,1.52,30.77,78.41,1710.13,7.93,14.79,North,1280,Rabi,Sugarcane,Canal,210.1,16.6,73.9,0.3981686935909433
172,88,58,7.89,44.81,Clay,1.07,31.81,63.41,1347.08,8.34,11.57,West,1124,Rabi,Sugarcane,Sprinkler,139.21,22.49,75.0,0.9198556164127605
98,17,94,7.67,43.38,Sandy,0.53,12.13,80.91,994.55,9.55,2.42,East,1537,Kharif,Sugarcane,Rainfed,62.03,14.66,73.47,0.22460482293998196
166,48,65,5.85,45.49,Silt,0.87,34.5,30.73,1684.31,5.92,8.7,East,385,Zaid,Sugarcane,Rainfed,200.35,16.98,76.79,0.4189254495045479
105,56,79,6.66,49.2,Clay,0.3,21.02,74.21,732.63,10.83,5.72,West,975,Kharif,Sugarcane,Rainfed,96.7,20.76,74.37,0.9148459010681
179,56,77,5.06,49.14,Clay,1.29,15.57,79.95,2120.11,5.81,5.0,Central,1406,Rabi,Sugarcane,Canal,142.66,1.1,74.44,0.6635373720167106
101,51,68,6.73,41.37,Silt,1.15,21.42,74.8,939.93,8.05,11.72,Central,744,Kharif,Sugarcane,Canal,179.25,9.42,75.02,0.41462412372702373
89,32,131,6.59,48.35,Sandy,1.05,22.78,31.9,1148.32,9.96,5.22,Central,1186,Kharif,Sugarcane,Rainfed,339.59,10.61,76.55,0.5953850173200438
64,33,104,6.78,51.71,Sandy,1.08,30.19,36.89,2055.55,6.23,2.18,Central,1317,Kharif,Sugarcane,Sprinkler,159.63,21.0,72.82,0.7499604703991778
152,31,117,6.9,39.15,Clay,0.31,36.03,36.03,2653.96,7.13,12.16,West,561,Kharif,Sugarcane,Sprinkler,111.68,13.53,78.31,0.20513964048200717
118,86,29,7.07,59.34,Silt,0.78,22.37,69.54,1231.78,4.42,4.42,Central,1977,Zaid,Sugarcane,Drip,271.82,5.39,76.34,0.5648411332626164
175,21,81,6.04,59.74,Loamy,0.35,21.11,45.84,1429.99,4.69,7.51,Central,735,Rabi,Sugarcane,Drip,159.6,11.96,74.43,0.4532888347480276
133,76,74,6.4,25.41,Sandy,1.54,30.71,32.8,2274.16,8.46,12.28,North,1745,Zaid,Sugarcane,Canal,110.65,23.85,74.19,0.5596403313082179
43,31,47,5.39,44.99,Sandy,1.05,27.87,60.7,2793.12,9.1,14.38,West,550,Rabi,Sugarcane,Sprinkler,236.89,4.64,75.44,0.1552402459307125
61,34,120,6.09,41.65,Silt,0.78,16.37,58.89,1400.08,4.61,18.0,Central,462,Kharif,Sugarcane,Sprinkler,235.01,4.12,76.37,0.18192813049527112
172,62,88,7.09,52.9,Clay,0.7,26.8,48.37,1970.05,4.7,14.06,West,1743,Zaid,Sugarcane,Rainfed,63.94,19.66,74.82,0.6439995432390158
82,27,98,5.08,49.76,Loamy,1.54,29.73,51.54,2309.05,7.87,13.83,West,1671,Zaid,Sugarcane,Sprinkler,150.74,8.23,75.35,0.02538635566034486
126,27,140,7.68,54.54,Clay,1.05,39.01,46.79,1725.06,7.94,6.9,South,1990,Kharif,Sugarcane,Drip,255.44,11.5,76.74,0.6527461078518747
115,55,89,5.11,37.72,Sandy,0.86,14.74,59.79,2130.71,10.58,15.6,North,1107,Rabi,Sugarcane,Drip,97.45,7.55,73.51,0.09944139275934516
